Name,Ticker,"Sub-Sector","Market Cap","Close Price","Percentage Buy Reco’s","No. of analysts with buy reco","Percentage Hold Reco's","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Ramco Industries Ltd,RAMCOIND,"Cement","1527.4054107","175.95",,"0","0","0",,
Stove Kraft Ltd,STOVEKRAFT,"Home Electronics & Appliances","1526.830008875","453.85","100","2","0","0","2","27.09572742022715"
GTPL Hathway Ltd,GTPL,"Cable & D2H","1525.5611104700001","138.3","100","1","0","0","1","44.48949502395871"
Refex Industries Ltd,REFEX,"Commodity Chemicals","1523.94769944","655.25",,"0","0","0",,
New Delhi Television Ltd,NDTV,"TV Channels & Broadcasters","1520.87718853","232.45",,"0","0","0",,
Morepen Laboratories Ltd,MOREPENLAB,"Pharmaceuticals","1518.17106276","29.55",,"0","0","0",,
Hardwyn India Ltd,HARDWYN,"Building Products - Glass","1514.1455667799999","42.9",,"0","0","0",,
Sasken Technologies Ltd,SASKEN,"Software Services","1509.226089525","1004.5",,"0","0","0",,
Kotak Nifty ETF,KOTAKNIFTY,"Equity","1502.04666942","212.59",,"0","0","0",,
Hester Biosciences Ltd,HESTERBIO,"Biotechnology","1492.4443956","1759.85","0","0","100","0","1","4.309165526675781"
I G Petrochemicals Ltd,IGPL,"Specialty Chemicals","1492.318431","477.9",,"0","0","0",,"45.68716467189434"
Marathon Nextgen Realty Ltd,MARATHON,"Real Estate","1488.286777215","320",,"0","0","0",,
Kabra Extrusion Technik Ltd,KABRAEXTRU,"Industrial Machinery","1482.20755225","446.2",,"0","0","0",,
KCP Ltd,KCP,"Cement","1476.7918878","114.05",,"0","0","0",,
Welspun Specialty Solutions Ltd,WELSPLSOL,"Iron & Steel","1474.708031992","27.87",,"0","0","0",,
John Cockerill India Ltd,COCKERILL,,"1473.566844525","2937",,"0","0","0",,
Jash Engineering Ltd,JASH,"Construction & Engineering","1468.37667348","1195.75",,"0","0","0",,
Media Matrix Worldwide Ltd,MMWL,"Advertising","1468.033915824","12.85",,"0","0","0",,
Nitin Spinners Ltd,NITINSPIN,"Textiles","1465.9365","258.5","100","2","0","0","2","68.93576222435283"
Andhra Sugars Ltd,ANDHRSUGAR,"Commodity Chemicals","1461.74918115","110.2",,"0","0","0",,
Reliance Industrial Infrastructure Ltd,RIIL,"Oil & Gas - Storage & Transportation","1458.358","949.55",,"0","0","0",,
Udaipur Cement Works Ltd,UDAICEMENT,"Cement","1457.397942","25.85",,"0","0","0",,
Heranba Industries Ltd,HERANBA,"Fertilizers & Agro Chemicals","1456.290131465","363.35",,"0","0","0",,"194.8207171314741"
Tamilnadu Newsprint & Papers Ltd,TNPL,"Paper Products","1455.844971","207.05",,"0","0","0",,
Remedium Lifecare Ltd,REMLIFE,,"1454.598","4035.45",,"0","0","0",,
TCPL Packaging Ltd,TCPLPACK,"Packaging","1452.098284","1612.7",,"0","0","0",,
Prakash Industries Ltd,PRAKASH,"Iron & Steel","1447.876668315","83",,"0","0","0",,
BF Investment Ltd,BFINVEST,"Asset Management","1437.9616989","377.15",,"0","0","0",,
Universal Cables Ltd,UNIVCABLES,"Cables","1433.2661891100001","410.45",,"0","0","0",,
Transformers and Rectifiers (India) Ltd,TRIL,"Heavy Electrical Equipments","1419.7616181","107.1",,"0","0","0",,
RACL Geartech Ltd,RACLGEAR,"Auto Parts","1414.222472","1296.65",,"0","0","0",,
Matrimony.Com Ltd,MATRIMONY,"Online Services","1414.096017135","645.25","100","2","0","0","2","18.04517195246714"
Ugar Sugar Works Ltd,UGARSUGAR,"Sugar","1411.875","127",,"0","0","0",,
Bhagiradha Chemicals and Industries Ltd,BHAGCHEM,"Fertilizers & Agro Chemicals","1407.809822485","1340.85",,"0","0","0",,
BF Utilities Ltd,BFUTILITIE,"Renewable Energy","1407.26258208","372.75",,"0","0","0",,
Gulshan Polyols Ltd,GULPOLY,"Specialty Chemicals","1402.6723452","236.65",,"0","0","0",,
Kiri Industries Ltd,KIRIINDUS,"Specialty Chemicals","1401.337894385","270.8",,"0","0","0",,
Polo Queen Industrial and Fintech Ltd,PQIF,"FMCG - Household Products","1400.0775","41.55",,"0","0","0",,
Avantel Ltd,AVANTEL,"Communication & Networking","1397.9891864","837.1",,"0","0","0",,
JITF Infralogistics Ltd,JITFINFRA,"Shipbuilding","1397.63901375","537.45",,"0","0","0",,
Southern Petrochemical Industries Corporation Ltd,SPIC,"Fertilizers & Agro Chemicals","1394.9363016","67.7",,"0","0","0",,
Themis Medicare Ltd,THEMISMED,"Pharmaceuticals","1388.3298822","1515.8",,"0","0","0",,
Deep Industries Ltd,DEEPINDS,"Oil & Gas - Equipment & Services","1387.84","214.55",,"0","0","0",,
RPSG Ventures Ltd,RPSGVENT,"Packaged Foods & Meats","1380.2485989299998","467.25","100","1","0","0","1","366.7521915757965"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","1377.59553216","31.05",,"0","0","0",,
IFGL Refractories Ltd,IFGLEXPOR,"Industrial Machinery","1376.7017184","374.9",,"0","0","0",,
Valiant Organics Ltd,VALIANTORG,"Commodity Chemicals","1376.6818416","510.55",,"0","0","0",,
Suven Life Sciences Ltd,SUVEN,"Pharmaceuticals","1376.04515427","62.4","100","1","0","0","1",
Solara Active Pharma Sciences Ltd,SOLARA,"Pharmaceuticals","1375.0573994","382.85","75","3","0","25","4","26.701570680628272"
Alicon Castalloy Ltd,ALICON,"Auto Parts","1373.53436","851","100","1","0","0","1","45.806451612903224"
Mishtann Foods Ltd,MISHTANN,"FMCG - Foods","1370","13.83",,"0","0","0",,
Pearl Global Industries Ltd,PGIL,"Apparel & Accessories","1362.87827667","618.75",,"0","0","0",,
Goldiam International Ltd,GOLDIAM,"Precious Metals, Jewellery & Watches","1362.727560575","128.6",,"0","0","0",,
Rico Auto Industries Ltd,RICOAUTO,"Auto Parts","1357.584975","98.7",,"0","0","0",,
HPL Electric & Power Ltd,HPL,"Electrical Components & Equipments","1352.56072301","205.9",,"0","0","0",,
Apollo Micro Systems Ltd,APOLLO,"Electronic Equipments","1352.3978677","57.25",,"0","0","0",,
Bharat Wire Ropes Ltd,BHARATWIRE,"Iron & Steel","1351.20913851","192.85",,"0","0","0",,
Madras Fertilizers Ltd,MADRASFERT,"Fertilizers & Agro Chemicals","1344.3903485","81.95",,"0","0","0",,
Ram Ratna Wires Ltd,RAMRAT,"Electrical Components & Equipments","1341.56","299.5",,"0","0","0",,
Everest Industries Ltd,EVERESTIND,"Building Products - Prefab Structures","1341.225140585","867.4",,"0","0","0",,
Xchanging Solutions Ltd,XCHANGING,"IT Services & Consulting","1336.844592","120",,"0","0","0",,
Kokuyo Camlin Ltd,KOKUYOCMLN,"Stationery","1329.0254295","130.3",,"0","0","0",,
Ksolves India Ltd,KSOLVES,"IT Services & Consulting","1322.89248","1125.6",,"0","0","0",,
Permanent Magnets Ltd,PERMAGN,"Metals - Diversified","1318.357806225","1508",,"0","0","0",,
Sree Rayalaseema Hi-Strength Hypo Ltd,SRHHYPOLTD,"Commodity Chemicals","1318.172428695","761.3",,"0","0","0",,
Shaily Engineering Plastics Ltd,SHAILY,"Industrial Machinery","1315.34258427","1395","100","1","0","0","1","30.76681661261639"
Ajmera Realty & Infra India Ltd,AJMERA,"Real Estate","1314.00492125","366.4",,"0","0","0",,
Insecticides (India) Ltd,INSECTICID,"Fertilizers & Agro Chemicals","1308.372384585","443.55","75","3","25","0","4","24.420314444067408"
Onward Technologies Ltd,ONWARDTEC,"Outsourced services","1305.66999105","569.6",,"0","0","0",,
AVT Natural Products Ltd,AVTNPL,"Agro Products","1305.07388","85.55",,"0","0","0",,
DCW Ltd,DCW,"Commodity Chemicals","1304.58517514","43.95",,"0","0","0",,
Krishana Phoschem Ltd,KRISHANA,"Fertilizers & Agro Chemicals","1300.550544","438.9",,"0","0","0",,
Kitex Garments Ltd,KITEX,"Apparel & Accessories","1299.0775","194.15",,"0","0","0",,
Pokarna Ltd,POKARNA,"Cement","1297.67242","415.3",,"0","0","0",,
KMC Speciality Hospitals India Ltd,KMCSHIL,"Hospitals & Diagnostic Centres","1295.710325","78",,"0","0","0",,
Goodluck India Ltd,GOODLUCK,"Iron & Steel","1294.671875","474.5",,"0","0","0",,
Jay Bharat Maruti Ltd,JAYBARMARU,"Auto Parts","1286.6595","301.05",,"0","0","0",,
Indian Hume Pipe Company Ltd,INDIANHUME,"Water Management","1283.8547349","275.4","100","1","0","0","1","-27.369716864997947"
Everest Kanto Cylinder Ltd,EKC,"Gas Distribution","1278.60653639","121.15","0","0","100","0","1","-4.344010530934622"
Himatsingka Seide Ltd,HIMATSEIDE,"Textiles","1269.6050782","125.75","0","0","100","0","1","-6.940674680108561"
Sterling Tools Ltd,STERTOOLS,"Industrial Machinery","1269.313074585","350.95","100","1","0","0","1","18.34823329076202"
Sanmit Infra Ltd,SANINFRA,,"1267.536165","76.97",,"0","0","0",,
S. P. Apparels Ltd,SPAL,"Apparel & Accessories","1256.135556","496.05","100","1","0","0","1","-8.509788254095088"
EKI Energy Services Ltd,EKI,,"1255.61699717","445.95",,"0","0","0",,
TV Today Network Ltd,TVTODAY,"TV Channels & Broadcasters","1251.25085655","207.35","100","1","0","0","1","43.0615164520744"
GMR Power and Urban Infra Ltd,GMRP&UI,"Power Generation","1249.44067296","20.05",,"0","0","0",,
Nalwa Sons Investments Ltd,NSIL,"Asset Management","1242.001255845","2447.45",,"0","0","0",,
Ngl Fine Chem Ltd,NGLFINE,"Pharmaceuticals","1241.69015364","1981.8",,"0","0","0",,
Uttam Sugar Mills Ltd,UTTAMSUGAR,"Sugar","1240.2516624","340.65",,"0","0","0",,
Mahanagar Telephone Nigam Ltd,MTNL,"Telecom Services","1234.8","19.5",,"0","0","0",,
Andrew Yule & Co Ltd,ANDREWYU,"Tea & Coffee","1232.1564645600001","25.15",,"0","0","0",,
Agarwal Industrial Corporation Ltd,AGARIND,"Commodity Chemicals","1228.93194424","783.05",,"0","0","0",,
Ashapura Minechem Ltd,ASHAPURMIN,"Metals - Diversified","1227.74343516","145.9",,"0","0","0",,
Pitti Engineering Ltd,PITTIENG,"Industrial Machinery","1226.3958137549998","412.3","100","1","0","0","1","20.475630471710446"
Spectrum Electrical Industries Ltd,SPECTRUM,"Electrical Components & Equipments","1224.70704","799",,"0","0","0",,
Infobeans Technologies Ltd,INFOBEAN,"Software Services","1218.7441893","511",,"0","0","0",,
Pnb Gilts Ltd,PNBGILTS,"Investment Banking & Brokerage","1218.66860718","70.45",,"0","0","0",,
Mangalore Chemicals and Fertilisers Ltd,MANGCHEFER,"Fertilizers & Agro Chemicals","1211.81740875","104.3",,"0","0","0",,
PTC India Financial Services Ltd,PFS,"Specialized Finance","1210.704086475","18.75",,"0","0","0",,
5Paisa Capital Ltd,5PAISA,"Diversified Financials","1208.30164476","399.95",,"0","0","0",,"-4.930916465965265"
Shakti Pumps India Ltd,SHAKTIPUMP,"Industrial Machinery","1200.6836907","679.1",,"0","0","0",,
Ritesh Properties and Industries Ltd,RPIL,,"1194.4487412","44.34",,"0","0","0",,
Genesys International Corporation Ltd,GENESYS,"IT Services & Consulting","1190.0027966799998","312.55",,"0","0","0",,
Pennar Industries Ltd,PENIND,"Iron & Steel","1184.82790818","86","100","1","0","0","1","5.922551252847383"
Excel Industries Ltd,EXCELINDUS,"Fertilizers & Agro Chemicals","1184.59916062","960.8",,"0","0","0",,
Asian Star Co Ltd,ASTAR,"Precious Metals, Jewellery & Watches","1183.942962","726.9",,"0","0","0",,
De Nora India Ltd,DENORA,"Electrical Components & Equipments","1182.10007595","2172.75",,"0","0","0",,
India Power Corporation Ltd,DPSCLTD,"Power Generation","1178.2859","12.05",,"0","0","0",,
Indo Rama Synthetics (India) Ltd,INDORAMA,"Textiles","1176.314745255","45.55",,"0","0","0",,
Jindal Drilling and Industries Ltd,JINDRILL,"Oil & Gas - Equipment & Services","1170.98150712","411.95",,"0","0","0",,
Raghav Productivity Enhancers Ltd,RPEL,"Commodity Chemicals","1166.1642245","1029.9",,"0","0","0",,
BCL Industries Ltd,BCLIND,"FMCG - Foods","1159.80375","481.95","100","1","0","0","1","10.7756376887038"
Rane (Madras) Ltd,RML,"Auto Parts","1157.517726055","713",,"0","0","0",,
63 Moons Technologies Ltd,63MOONS,"IT Services & Consulting","1156.5712787","254.75",,"0","0","0",,
Veranda Learning Solutions Pvt Ltd,VERANDA,"Education Services","1153.24451523","184.35",,"0","0","0",,
Sat Industries Ltd,SATINDLTD,"Business Support Services","1143.28935","100.05",,"0","0","0",,
Shree Digvijay Cement Co Ltd,SHREDIGCEM,"Cement","1140.07680591","77.65",,"0","0","0",,"-6.947100063734865"
Gujarat Themis Biosyn Ltd,GUJTHEM,"Pharmaceuticals","1139.9219589200002","789",,"0","0","0",,
Manali Petrochemicals Ltd,MANALIPETC,"Specialty Chemicals","1134.334915255","66.2",,"0","0","0",,
Knowledge Marine & Engineering Works Ltd,KMEW,,"1134.105","1083",,"0","0","0",,
Shivalik Rasayan Ltd,SHIVALIK,"Fertilizers & Agro Chemicals","1126.16868805","778.4",,"0","0","0",,
Shriram Properties Ltd,SHRIRAMPPS,"Real Estate","1122.1198362","67.15",,"0","0","0",,
Oriental Aromatics Ltd,OAL,"Specialty Chemicals","1122.01022384","324.25",,"0","0","0",,
Geojit Financial Services Ltd,GEOJITFSL,"Investment Banking & Brokerage","1120.1584727299999","46.6",,"0","0","0",,
Roto Pumps Ltd,ROTO,"Industrial Machinery","1119.83833455","345.6",,"0","0","0",,
Satia Industries Ltd,SATIA,"Paper Products","1117.5","111.45",,"0","0","0",,"43.17673378076063"
Shalimar Paints Ltd,SHALPAINTS,"Specialty Chemicals","1107.0854755799999","154",,"0","0","0",,
Uniphos Enterprises Ltd,UNIENTER,"Fertilizers & Agro Chemicals","1106.47445759","157.4",,"0","0","0",,
India Nippon Electricals Ltd,INDNIPPON,"Auto Parts","1106.1876336","477.95",,"0","0","0",,
GRM Overseas Ltd,GRMOVER,"Packaged Foods & Meats","1104.3","187.35",,"0","0","0",,
Likhitha Infrastructure Ltd,LIKHITHA,"Construction & Engineering","1101.444","288.95",,"0","0","0",,
Beekay Steel Industries Ltd,BEEKAY,"Iron & Steel","1100.83884144","579",,"0","0","0",,
Dhampur Bio Organics Ltd,DBOL,"Sugar","1097.05492475","169.4",,"0","0","0",,
Sportking India Ltd,SPORTKING,"Textiles","1095.106496","933",,"0","0","0",,
Cressanda Solutions Ltd,CRESSAN,"IT Services & Consulting","1093.4059203040001","24.7",,"0","0","0",,
NIIT Ltd,NIITLTD,"Education Services","1086.35538096","82.65","100","2","0","0","2","432.8376703841388"
Punjab Chemicals and Crop Protection Ltd,PUNJABCHEM,"Diversified Chemicals","1085.509927125","882.85",,"0","0","0",,
Avadh Sugar & Energy Ltd,AVADHSUGAR,"Sugar","1084.998364","553.6",,"0","0","0",,"38.37638376383764"
Elpro International Ltd,ELPROINTL,"Real Estate","1083.98851548","62.76",,"0","0","0",,
Hi-Tech Pipes Ltd,HITECH,"Building Products - Pipes","1083.769135","84.4",,"0","0","0",,
G M Breweries Ltd,GMBREW,"Alcoholic Beverages","1083.76661571","592.45",,"0","0","0",,
Ge Power India Ltd,GEPIL,"Construction & Engineering","1082.3622831","161",,"0","0","0",,
Control Print Ltd,CONTROLPR,"Electronic Equipments","1078.95455328","658.7","100","2","0","0","2","6.334670400363281"
Bigbloc Construction Ltd,BIGBLOC,"Building Products - Granite","1077.745396875","151.1",,"0","0","0",,
D Link (India) Limited,DLINKINDIA,"Technology Hardware","1065.855597","314.7",,"0","0","0",,
ULTRAMARINE & PIGMENTS Ltd,ULTRAMAR,"Commodity Chemicals","1058.792","369.5",,"0","0","0",,
TGV SRAAC Ltd,TGVSL,"Commodity Chemicals","1056.0125178","98.1",,"0","0","0",,
Transpek Industry Ltd,TRANSPEK,"Commodity Chemicals","1055.22569548","1872.8",,"0","0","0",,
Speciality Restaurants Ltd,SPECIALITY,"Restaurants & Cafes","1051.262007985","221.3",,"0","0","0",,
Deccan Gold Mines Ltd,DECNGOLD,"Mining - Diversified","1049.053641444","81.09",,"0","0","0",,
Praveg Ltd,PRAVEG,,"1040.4331696","473.05",,"0","0","0",,
Foods and Inns Ltd,FOODSIN,"FMCG - Foods","1032.0104853149999","184.25",,"0","0","0",,
Shanti Educational Initiatives Ltd,SEIL,"Education Services","1030.4","65.45",,"0","0","0",,
Wardwizard Innovations & Mobility Ltd,WARDINMOBI,"Two Wheelers","1030.296900506","38.39",,"0","0","0",,
Vimta Labs Ltd,VIMTALABS,"Labs & Life Sciences Services","1024.904125955","452.35","100","1","0","0","1","-28.71800410411491"
Rajnish Wellness Ltd,RAJNISH,"FMCG - Personal Products","1020.53434848","13.25",,"0","0","0",,
GIC Housing Finance Ltd,GICHSGFIN,"Home Financing","1019.66993471","189.5",,"0","0","0",,
B L Kashyap and Sons Ltd,BLKASHYAP,"Construction & Engineering","1017.8616","43.5",,"0","0","0",,
GTL Infrastructure Ltd,GTLINFRA,"Telecom Infrastructure","1013.71219064","0.75",,"0","0","0",,
Bliss GVS Pharma Ltd,BLISSGVS,"Pharmaceuticals","1013.5703477","97.2",,"0","0","0",,
Steel Cast Ltd,STEELCAS,"Iron & Steel","1012.3036","494.25",,"0","0","0",,
Dredging Corporation of India Ltd,DREDGECORP,"Dredging","1005.9","357.4",,"0","0","0",,
Ganesh Benzoplast Ltd,GANESHBE,"Specialty Chemicals","1003.5141612950001","154.45",,"0","0","0",,
Talbros Automotive Components Ltd,TALBROAUTO,"Auto Parts","1001.04540855","793.85",,"0","0","0",,
Radiant Cash Management Services Ltd,RADIANTCMS,"Business Support Services","1000.9201582799999","94.2",,"0","0","0",,
India Motor Parts & Accessories Ltd,IMPAL,"Auto Parts","998.5248","802.25",,"0","0","0",,
Zota Health Care Ltd,ZOTA,"Pharmaceuticals","985.02680205","391.5",,"0","0","0",,
Linc Ltd,LINC,"Stationery","983.65332674","663.9",,"0","0","0",,
Chemcon Speciality Chemicals Ltd,CHEMCON,"Specialty Chemicals","980.0544052549999","268.2",,"0","0","0",,
Medicamen Biotech Ltd,MEDICAMEQ,"Pharmaceuticals","978.562585","795",,"0","0","0",,
Saint-Gobain Sekurit India Ltd,SAINTGOBAIN,"Auto Parts","978.0196895","106.9",,"0","0","0",,
Atul Auto Ltd,ATULAUTO,"Three Wheelers","970.6581734399999","368.2","50","1","50","0","2","1.986044015029516"
Monarch Networth Capital Ltd,MONARCH,"Investment Banking & Brokerage","967.65212926","300.2",,"0","0","0",,
Indraprastha Medical Corporation Ltd,INDRAMEDCO,"Hospitals & Diagnostic Centres","964.85678835","104.35",,"0","0","0",,
Ramco Systems Ltd,RAMCOSYS,"IT Services & Consulting","964.690756875","266.8","100","1","0","0","1","9.58904109589041"
Spacenet Enterprises India Ltd,SPCENET,"Online Services","960.6066732","18.05",,"0","0","0",,
Manaksia Ltd,MANAKSIA,"Metals - Diversified","959.418492","146.9",,"0","0","0",,
Dhunseri Ventures Ltd,DVL,"Specialty Chemicals","959.32801206","271.9",,"0","0","0",,
Repro India Ltd,REPRO,"Stationery","957.51383013","725.75",,"0","0","0",,
SMS Pharmaceuticals Ltd,SMSPHARMA,"Pharmaceuticals","956.567939","109.7",,"0","0","0",,
Premier Explosives Ltd,PREMEXPLN,"Commodity Chemicals","956.4654202450001","931.75",,"0","0","0",,
Hercules Hoists Ltd,HERCULES,"Industrial Machinery","950.24","300.55",,"0","0","0",,
Shiva Cement Ltd,SHIVACEM,"Cement","950.235","48.7",,"0","0","0",,
Ester Industries Ltd,ESTER,"Commodity Chemicals","946.51916465","112.75",,"0","0","0",,
Nahar Spinning Mills Ltd,NAHARSPING,"Textiles","946.35355072","260.3",,"0","0","0",,
Faze Three Ltd,FAZE3Q,"Textiles","945.76591","392.15",,"0","0","0",,"-9.92150302406383"
Dcm Shriram Industries Ltd,DCMSRIND,"Packaged Foods & Meats","940.38551985","111.9",,"0","0","0",,
Kamdhenu Ventures Ltd,KAMOPAINTS,"Commodity Chemicals","938.03532","299.8",,"0","0","0",,
Bodal Chemicals Ltd,BODALCHEM,"Commodity Chemicals","934.61646795","73.8","100","1","0","0","1","65.54508748317632"
Renaissance Global Ltd,RGL,"Precious Metals, Jewellery & Watches","934.53228","97.05",,"0","0","0",,
Vascon Engineers Ltd,VASCONEQ,"Construction & Engineering","934.4635773","43",,"0","0","0",,
Jagsonpal Pharmaceuticals Ltd,JAGSNPHARM,"Pharmaceuticals","929.11207","361.7",,"0","0","0",,
Enkei Wheels (India) Ltd,ENKEIWHEL,"Auto Parts","926.7855862","514","100","1","0","0","1","27.424359968968187"
M K Proteins Ltd,MKPL,"FMCG - Household Products","925.041732","746.35",,"0","0","0",,
Chaman Lal Setia Exports Ltd,CLSEL,"Packaged Foods & Meats","922.926532","181.4",,"0","0","0",,
Century Enka Ltd,CENTENKA,"Textiles","921.767096965","421.35",,"0","0","0",,
Lancer Container Lines Ltd,LANCER,"Logistics","921.4669728","149.7",,"0","0","0",,
Sigachi Industries Ltd,SIGACHI,"Commodity Chemicals","920.43045","299.3",,"0","0","0",,
Balmer Lawrie Investments Ltd,BLIL,"Conglomerates","918.30101853","415.15",,"0","0","0",,
RSWM Ltd,RSWM,"Textiles","915.18572012","192.7",,"0","0","0",,
Ambika Cotton Mills Ltd,AMBIKCO,"Textiles","913.681375","1596.75",,"0","0","0",,
Vinyl Chemicals India Ltd,VINYLINDIA,"Specialty Chemicals","912.546328915","498.05",,"0","0","0",,
HLV Ltd,HLVLTD,"Hotels, Resorts & Cruise Lines","909.7786606200001","13.9",,"0","0","0",,
Coffee Day Enterprises Ltd,COFFEEDAY,"Restaurants & Cafes","904.1573573200001","42.1",,"0","0","0",,
Antony Waste Handling Cell Ltd,AWHCL,"Environmental Services","902.78503055","318.05","100","2","0","0","2","24.70625097916341"
Focus Lighting and Fixtures Ltd,FOCUS,"Home Electronics & Appliances","901.697695925","684.5",,"0","0","0",,
Forbes & Company Ltd,FORBESCO,"Conglomerates","900.7103552799999","695.9",,"0","0","0",,
Vardhman Holdings Ltd,VHL,"Diversified Financials","900.2525172","2809.7",,"0","0","0",,
Allsec Technologies Ltd,ALLSEC,"IT Services & Consulting","899.3660005200001","571.85",,"0","0","0",,
Ncl Industries Ltd,NCLIND,"Cement","898.3232094","197","100","1","0","0","1","26.38469284994965"
Quick Heal Technologies Ltd,QUICKHEAL,"IT Services & Consulting","898.274928175","166.65",,"0","0","0",,
Tracxn Technologies Ltd,TRACXN,"IT Services & Consulting","897.82376505","87.95",,"0","0","0",,
Finkurve Financial Services Ltd,FINKURVE,"Diversified Financials","896.633743464","80",,"0","0","0",,
Royal Orchid Hotels Ltd,ROHLTD,"Hotels, Resorts & Cruise Lines","894.6105133","335.1",,"0","0","0",,
Navkar Corporation Ltd,NAVKARCORP,"Logistics","891.826147425","60.35",,"0","0","0",,"36.70886075949367"
Nelcast Ltd,NELCAST,"Iron & Steel","888.717258","108.75",,"0","0","0",,
K&R Rail Engineering Ltd,KRRAIL,"Construction & Engineering","888.603140985","465.1",,"0","0","0",,
Orient Paper and Industries Ltd,ORIENTPPR,"Paper Products","886.93539836","41.15",,"0","0","0",,
Summit Securities Ltd,SUMMITSEC,"Asset Management","885.66068844","818.45",,"0","0","0",,
Hexa Tradex Ltd,HEXATRADEX,"Commodities Trading","878.6670171200001","158.9",,"0","0","0",,
HDFC Nifty 50 ETF,HDFCNIFTY,"Equity","875.43042121","217.2",,"0","0","0",,
Omaxe Ltd,OMAXE,"Real Estate","872.4355758","49.2",,"0","0","0",,
Bajaj Healthcare Ltd,BAJAJHCARE,"Pharmaceuticals","869.763576","308.35",,"0","0","0",,
Snowman Logistics Ltd,SNOWMAN,"Logistics","868.022134025","50.4",,"0","0","0",,
Sastasundar Ventures Ltd,SASTASUNDR,"Diversified Financials","856.33866","264.2",,"0","0","0",,
Kamdhenu Ltd,KAMDHENU,"Iron & Steel","856.01019","316.95",,"0","0","0",,
Paramount Communications Ltd,PARACABLES,"Cables","854.6835985","38.1",,"0","0","0",,
National Peroxide Ltd,NATPEROX,"Commodity Chemicals","849.722685","1505.6",,"0","0","0",,
Kopran Ltd,KOPRAN,"Pharmaceuticals","848.265594975","177.7",,"0","0","0",,
Centrum Capital Ltd,CENTRUM,"Diversified Financials","847.33637778","21.4",,"0","0","0",,
Peninsula Land Ltd,PENINLAND,"Real Estate","845.8595136","29.8",,"0","0","0",,
Man Industries India Ltd,MANINDS,"Building Products - Pipes","839.339163075","137.45",,"0","0","0",,
Texmaco Infrastructure & Holdings Ltd,TEXINFRA,"Real Estate","836.55556335","78.55",,"0","0","0",,
Orient Green Power Company Ltd,GREENPOWER,"Renewable Energy","833.30361447","11.1",,"0","0","0",,
Jeena Sikho Lifecare Ltd,JSLL,"Pharmaceuticals","832.8148776","602.5",,"0","0","0",,
Capital India Finance Ltd,CIFL,"Diversified Financials","832.30072182","109",,"0","0","0",,
Dynamic Cables Ltd,DYCL,"Cables","830.47815","390.35",,"0","0","0",,
Automobile Corp Of Goa Ltd,ACGL,"Trucks & Buses","829.60519061","1330",,"0","0","0",,
Global Surfaces Ltd,GSLSU,"Building Products - Ceramics","824.5382691899999","193.6",,"0","0","0",,
Onmobile Global Ltd,ONMOBILE,"Software Services","822.9293240850001","77.4",,"0","0","0",,
Gloster Ltd,GLOSTERLTD,"Textiles","821.7841097","754",,"0","0","0",,
Associated Alcohols & Breweries Ltd,ASALCBR,"Alcoholic Beverages","814.648752","447.45",,"0","0","0",,
HP Adhesives Ltd,HPAL,"Diversified Chemicals","812.999530015","440.9",,"0","0","0",,
Integra Engineering India Ltd,INTEGRAEN,"Industrial Machinery","807.582106","225.5","100","1","0","0","1","-25.53191489361702"
Kalyani Investment Company Ltd,KICL,"Asset Management","807.21055899","1800.15",,"0","0","0",,
Kirloskar Electric Company Ltd,KECL,"Heavy Electrical Equipments","806.93096265","120.15",,"0","0","0",,
Mangalam Cement Ltd,MANGLMCEM,"Cement","804.2959665","290.85","100","1","0","0","1","40.17094017094017"
Yuken India Ltd,YUKEN,"Industrial Machinery","802.88","617.6",,"0","0","0",,
Lincoln Pharmaceuticals Ltd,LINCOLN,"Pharmaceuticals","802.79149824","397.3",,"0","0","0",,
D P Wires Ltd,DPWIRES,"Iron & Steel","800.71552","597.1",,"0","0","0",,
Kellton Tech Solutions Ltd,KELLTONTEC,"IT Services & Consulting","794.9311297649999","85.55",,"0","0","0",,
Oriental Carbon & Chemicals Ltd,OCCL,"Commodity Chemicals","794.76176906","802.25",,"0","0","0",,
Dolat Algotech Ltd,DOLATALGO,"Investment Banking & Brokerage","790.24","44.55",,"0","0","0",,
IST Ltd,ISTLTD,"Industrial Machinery","789.0771768","685",,"0","0","0",,
Indo Amines Ltd,INDOAMIN,"Specialty Chemicals","788.277794","111.2",,"0","0","0",,
Shilchar Technologies Ltd,SHILCTECH,"Electronic Equipments","787.924708","2065.25",,"0","0","0",,
Jubilant Industries Ltd,JUBLINDS,"Diversified Chemicals","782.28388392","518.8",,"0","0","0",,
Sutlej Textiles and Industries Ltd,SUTLEJTEX,"Textiles","782.2816605","47.6",,"0","0","0",,
Marine Electricals (India) Ltd,MARINE,"Electrical Components & Equipments","781.02779125","62.3",,"0","0","0",,
Shreyas Shipping and Logistics Ltd,SHREYAS,"Logistics","779.05327084","355.6",,"0","0","0",,
Rhetan TMT Ltd,RHETAN,,"776.15625","9.55",,"0","0","0",,
Allied Digital Services Ltd,ADSL,"IT Services & Consulting","775.55400175","141.75",,"0","0","0",,"23.893805309734514"
Dharamsi Morarji Chemical Co Ltd,DMCC,"Diversified Chemicals","773.262622665","304.75",,"0","0","0",,
Hi-Tech Gears Ltd,HITECHGEAR,"Auto Parts","772.39704","403",,"0","0","0",,
