Name,Ticker,"Sub-Sector","Market Cap","Earnings Quality Rank","Fundamental Score","Price Momentum Rank","Price to Intrinsic Value Rank","Value Momentum Rank"
Lumax Industries Ltd,LUMAXIND,"Auto Parts","2125.9079501","35","3.0864406779661","89","72","58"
Rupa & Company Ltd,RUPA,"Apparel & Accessories","2125.2980418","13","5.87205882352941","24","96","45"
Kesoram Industries Ltd,KESORAMIND,"Tires & Rubber","2124.93945492","44","1.97567567567568","45",,"43"
Dishman Carbogen Amcis Ltd,DCAL,"Labs & Life Sciences Services","2123.627021775","20","3.1","35","90","85"
Vishnu Chemicals Ltd,VISHNU,"Diversified Chemicals","2121.3145015","54",,"39","67","37"
Bajaj Hindusthan Sugar Ltd,BAJAJHIND,"Sugar","2117.4627037200003","11","2.37313432835821","59",,"88"
Novartis India Ltd,NOVARTIND,"Pharmaceuticals","2116.98893478","56","2.735","13","72","17"
Jayaswal Neco Industries Ltd,JAYNECOIND,"Iron & Steel","2111.9211807","58",,"53","100","94"
Sandhar Technologies Ltd,SANDHAR,"Auto Parts","2110.5871760200002","11","4.35423728813559","79",,"67"
Butterfly Gandhimathi Appliances Ltd,BUTTERFLY,"Home Electronics & Appliances","2107.82026739","97","5.67272727272727","12","25","7"
Pilani Investment And Industries Corporation Ltd,PILANIINVS,"Asset Management","2092.04627625","20","4.92826086956522","49","99","89"
Jain Irrigation Systems Ltd,JISLDVREQS,"Agricultural & Farm Machinery","2091.93425563","19","4.666666666666666","30",,
Paushak Ltd,PAUSHAKLTD,"Specialty Chemicals","2091.35304413","64",,"14","32","4"
Vadilal Industries Ltd,VADILALIND,"FMCG - Foods","2086.9864405","40","4.17313432835821","34","27","13"
Meghmani Organics Ltd,MOL,"Commodity Chemicals","2084.104959145","5","4.40147058823529",,,
Agro Tech Foods Ltd,ATFL,"Packaged Foods & Meats","2075.13869595","9","4.59477611940299","61","19","55"
Federal-Mogul Goetze (India) Ltd,FMGOETZE,"Auto Parts","2073.9658064","53",,"86","58","83"
NRB Bearings Ltd,NRBBEARING,"Industrial Machinery","2072.689801","30","3.91372549019608","62","52","70"
CARE Ratings Ltd,CARERATING,"Stock Exchanges & Ratings","2069.5199181","80","5.91666666666667","95","66","89"
Amrutanjan Health Care Ltd,AMRUTANJAN,"Pharmaceuticals","2069.422627575","98","6.77428571428571","6","57","6"
Dollar Industries Ltd,DOLLAR,"Apparel & Accessories","2053.4071246","25","6.52941176470588","33","79","33"
Styrenix Performance Materials Ltd,STYRENIX,"Commodity Chemicals","2052.2424375","95","6.06964285714286","59","100","95"
IndoStar Capital Finance Ltd,INDOSTAR,"Consumer Finance","2052.0757686","11",,"18","92","90"
Ugro Capital Ltd,UGROCAP,"Investment Banking & Brokerage","2041.8583337799998","2","4.38","64","59","68"
Optiemus Infracom Ltd,OPTIEMUS,"Technology Hardware","2036.53257052","43","3.67142857142857","23",,"7"
Sanghi Industries Ltd,SANGHIIND,"Cement","2034.31725","40","2.45540540540541","33",,"17"
Savita Oil Technologies Ltd,SOTL,"Commodity Chemicals","2028.7881844","97",,"39","99","83"
Garware Hi-Tech Films Ltd,GRWRHITECH,"Commodity Chemicals","2015.52634147","49","6.41607142857143","36","93","71"
Heritage Foods Ltd,HERITGFOOD,"FMCG - Foods","2012.28126","83","4.71567164179105","54","78","73"
Wendt (India) Limited,WENDT,"Industrial Machinery","2010.87","75","5.22058823529412","95","19","73"
Manorama Industries Ltd,MANORAMA,"Packaged Foods & Meats","2010.21635745","5",,"36","5","9"
Bharat Bijlee Ltd,BBL,"Heavy Electrical Equipments","2004.8626522","24","4.75714285714286","95","62","85"
Aptech Ltd,APTECHT,"Education Services","1994.3210535","99","6.45","74","66","70"
Ddev Plastiks Industries Ltd,DDEVPLASTIK,,"1991.40839868",,,,,
Jaiprakash Associates Ltd,JPASSOCIAT,"Conglomerates","1988.2224684","27","3.18888888888889","11",,"3"
Alembic Ltd,ALEMBICLTD,"Pharmaceuticals","1984.9235304400001","24","3.58928571428571","13","94","53"
Kotak Gold Etf,KOTAKGOLD,"Gold","1984.1380216000002",,,,,
Nelco Ltd,NELCO,"Communication & Networking","1962.610584","93","6.075","14","2","3"
Xpro India Ltd,XPROINDIA,"Plastic Products","1951.87327848","83","3.98725490196078","37","32","15"
Thirumalai Chemicals Ltd,TIRUMALCHM,"Commodity Chemicals","1944.3503988","3","4.99642857142857","28","69","30"
Wheels India Ltd,WHEELS,"Auto Parts","1942.61144455","49","3.31610169491525","56","78","67"
Repco Home Finance Ltd,REPCOHOME,"Consumer Finance","1940.0278356200001","54","3.63260869565217","49","99","96"
Yasho Industries Ltd,YASHO,"Specialty Chemicals","1938.43396","6",,"46","51","27"
GNA Axles Ltd,GNA,"Auto Parts","1926.734304","40","7.33559322033898","95","78","86"
MPS Ltd,MPSLTD,"Publishing","1925.09466457","97","7.72","47","82","82"
IIFL Securities Ltd,IIFLSEC,"Diversified Financials","1923.840451045","73","4.96166666666667","25","97","79"
Carysil Ltd,CARYSIL,"Home Furnishing","1922.702181","24","6.62142857142857","25","44","10"
Sirca Paints India Ltd,SIRCA,"Paints","1921.322484","73","6.4","47",,"40"
Accelya Solutions India Ltd,ACCELYA,"Software Services","1919.81568982","96","4.43076923076923","29","63","34"
Vidhi Specialty Food Ingredients Ltd,VIDHIING,"Commodity Chemicals","1919.636075","16","5.66470588235294","39","53","19"
Supriya Lifescience Ltd,SUPRIYA,"Pharmaceuticals","1918.709952","26","8.01357142857143","4","67","63"
Shalby Ltd,SHALBY,"Hospitals & Diagnostic Centres","1914.9383652","19","6.2","53","65","52"
Axiscades Technologies Ltd,AXISCADES,"Construction & Engineering","1914.1674241","91","4.76825396825397","68",,"35"
Tanfac Industries Ltd,TANFACIND,"Diversified Chemicals","1913.554125","83",,"91","48","77"
Prataap Snacks Ltd,DIAMONDYD,"Packaged Foods & Meats","1910.5568294","57","3.68208955223881","7","32","3"
Virescent Renewable Energy Trust,VIRESCENT,"Renewable Energy","1909.5",,,,,
Spicejet Ltd,SPICEJET,"Airlines","1907.85075805","74",,"9",,"12"
HDFC Gold Exchange Traded Fund,HDFCGOLD,"Gold","1906.0882018",,,,,
ICICI Prudential Gold ETF,ICICIGOLD,"Gold","1905.052968",,,,,
Nippon India ETF Junior BeES,JUNIORBEES,"Equity","1901.11000107",,,,,
Tarc Ltd,TARC,"Real Estate","1897.46943405","25",,"61",,"40"
GOCL Corp Ltd,GOCLCORP,"Commodity Chemicals","1871.93743625","15","2.92589285714286","56","98","80"
Anup Engineering Ltd,ANUP,"Textiles","1860.8702775","71","7.17647058823529","96","65","86"
India Glycols Ltd,INDIAGLYCO,"Commodity Chemicals","1855.6775025","18","4.49821428571429","22","87","56"
Seamec Ltd,SEAMECLTD,"Oil & Gas - Equipment & Services","1854.118125","5","5.4375","30","48","20"
KDDL Ltd,KDDL,"Precious Metals, Jewellery & Watches","1853.11126377","50","3.21470588235294","91","35","60"
TTK Healthcare Ltd,TTKHLTCARE,"Pharmaceuticals","1849.80189303","5","2.84714285714286","48","56","37"
Thejo Engineering Ltd,THEJO,"Construction & Engineering","1846.1631414","86",,"99","35","79"
Arman Financial Services Ltd,ARMANFIN,"Consumer Finance","1843.743661425","5","5.57173913043478","61","50","59"
Suryoday Small Finance Bank Ltd,SURYODAY,"Private Banks","1832.3302127400002","12","3.46451612903226","73","85","86"
Seshasayee Paper and Boards Ltd,SESHAPAPER,"Paper Products","1825.1919716","73","6.88","30","98","79"
Jagran Prakashan Ltd,JAGRAN,"Publishing","1825.0310707200001","67","4.715","33","92","86"
Panama Petrochem Ltd,PANAMAPET,"Specialty Chemicals","1822.36963975","77","6.51517857142857","47","99","86"
Servotech Power Systems Ltd,SERVOTECH,"Electrical Components & Equipments","1802.776743475","65",,"99",,"73"
Mukand Ltd,MUKANDLTD,"Iron & Steel","1791.7449812","18","2.09029850746269","87","97","92"
Krsnaa Diagnostics Ltd,KRSNAA,"Hospitals & Diagnostic Centres","1786.9951438950002","33","6.75","43","65","46"
Dhampur Sugar Mills Ltd,DHAMPURSUG,"Sugar","1785.49423305","38","3.95671641791045","57","92","82"
Tide Water Oil Co India Ltd,TIDEWATER,"Commodity Chemicals","1780.3815336","90","4.76875","21","97","65"
Centum Electronics Ltd,CENTUM,"Electronic Equipments","1776.746875995","89","10","86","21","72"
Indian Metals and Ferro Alloys Ltd,IMFA,"Iron & Steel","1776.16916952","35","5.67313432835821","91","97","99"
SJS Enterprises Ltd,SJS,"Auto Parts","1771.7903918400002","70","7.82372881355932","76","64","74"
JSW Ispat Special Products Ltd,JSWISPL,"Iron & Steel","1753.76003949","50","4.21865671641791","82",,"91"
Hariom Pipe Industries Ltd,HARIOMPIPE,"Building Products - Pipes","1750.5909529150001","38",,"99","17","76"
Rama Steel Tubes Ltd,RAMASTEEL,"Building Products - Pipes","1746.4796205","16",,"92",,"70"
Precision Camshafts Ltd,PRECAM,"Auto Parts","1733.49148875","83","4.61186440677966","91","41","83"
Dhani Services Ltd,DHANI,"Investment Banking & Brokerage","1729.2815487900002","24","4.07","25",,"17"
NACL Industries Ltd,NACLIND,"Fertilizers & Agro Chemicals","1725.9471972400002","9","4.15441176470588","77","74","79"
Skipper Ltd,SKIPPER,"Power Infrastructure","1723.3195084200001","20","3.34523809523809","80",,"70"
Ador Welding Ltd,ADORWELD,"Industrial Machinery","1722.1098608799998","55","4.25686274509804","89","44","76"
Vakrangee Ltd,VAKRANGEE,"Outsourced services","1721.70909625","35","5.09285714285714","13",,"11"
Steel Exchange India Ltd,STEELXIND,"Iron & Steel","1714.68507515","27",,"61",,"45"
Timex Group India Ltd,TIMEX,"Precious Metals, Jewellery & Watches","1700.50275","9",,"74",,"49"
Cosmo Films Ltd,COSMOFIRST,"Packaging","1698.5430525","79","7.31","32","100","84"
Filatex India Ltd,FILATEX,"Textiles","1692.302975","82",,"19","99","83"
Dwarikesh Sugar Industries Ltd,DWARKESH,"Sugar","1691.88870795","87","5.50074626865672","8","97","78"
Kuantum Papers Ltd,KUANTUM,"Paper Products","1678.9522412","87","2.71","71","89","94"
Gallantt Metal Ltd,GALLANTT,"Iron & Steel","1678.108972475","20","5.47388059701493","43","96","86"
Inox Green Energy Services Ltd,INOXGREEN,"Heavy Electrical Equipments","1677.95829","10",,,,
Foseco India Ltd,FOSECOIND,"Specialty Chemicals","1677.179930285","99","4.48333333333333","94","54","83"
Jyoti Resins and Adhesives Ltd,JYOTIRES,"Commodity Chemicals","1676.16","17",,"56","5","26"
Andhra Paper Ltd,ANDHRAPAP,"Paper Products","1670.142787805","91","6.73333333333333","33","82","66"
Shankara Building Products Ltd,SHANKARA,"Building Products - Pipes","1669.94299071","90","10","18","44","12"
Monte Carlo Fashions Ltd,MONTECARLO,"Apparel & Accessories","1667.16892656","73","6.32794117647059","46","92","73"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","1666.1459476799998","2","5.3","3",,"3"
Gujarat Industries Power Company Ltd,GIPCL,"Power Generation","1663.763068","21","6.32857142857143","35","98","83"
Moschip Technologies Ltd,MOSCHIP,"Software Services","1662.215190916","42",,"8",,"1"
Gensol Engineering Ltd,GENSOL,"Construction & Engineering","1648.57614672","12",,,,
Artemis Medicare Services Ltd,ARTEMISMED,"Business Support Services","1646.62926","41",,"79",,"79"
Salasar Techno Engineering Ltd,SALASAR,"Iron & Steel","1643.2459824","58","5.16904761904762","74",,"53"
Gati Ltd,GATI,"Logistics","1633.783618935","38","2.09090909090909","5",,"7"
TAJ GVK Hotels and Resorts Ltd,TAJGVK,"Hotels, Resorts & Cruise Lines","1630.23887","71","6.30833333333333","48",,"38"
RPG Life Sciences Ltd,RPGLIFE,"Pharmaceuticals","1627.439076","79","6.28142857142857","27","64","25"
Kalyani Steels Ltd,KSL,"Iron & Steel","1616.6910771","97",,"65","100","96"
Precision Wires India Ltd,PRECWIRE,"Electrical Components & Equipments","1610.601644625","69","5.71571428571429","93","74","88"
Cantabil Retail India Ltd,CANTABIL,"Apparel & Accessories","1610.06542488","68","4.22352941176471","36","31","22"
EIH Associated Hotels Ltd,EIHAHOTELS,"Hotels, Resorts & Cruise Lines","1605.0619839600001","72","6.84166666666667","33","19","12"
Capacite Infraprojects Ltd,CAPACITE,"Construction & Engineering","1603.5316346","15","4.27777777777778","41","81","42"
Gokul Agro Resources Ltd,GOKULAGRO,"Packaged Foods & Meats","1599.37000072","16",,"43","90","68"
Fairchem Organics Ltd,FAIRCHEMOR,"Specialty Chemicals","1596.68810775","44","5.69901960784314","18","66","13"
Rossell India Ltd,ROSSELLIND,"Tea & Coffee","1596.257233875","29","5.25","30","12","7"
Primo Chemicals Ltd,PRIMO,,"1589.2868367600001","8",,"19",,"25"
Parag Milk Foods Ltd,PARAGMILK,"FMCG - Foods","1585.71364578","23",,"24",,"5"
DEN Networks Ltd,DEN,"Cable & D2H","1585.24666405","48","7.675","6","97","59"
Arvind Smartspaces Ltd,ARVSMART,"Real Estate","1577.0834290950002","8","5.74464285714286","61","32","13"
Rane Holdings Ltd,RANEHOLDIN,"Auto Parts","1565.41897876","19","2.00762711864407","94",,"85"
Expleo Solutions Ltd,EXPLEOSOL,"Software Services","1563.350175225","89","5.61666666666667","40","57","28"
Satin Creditcare Network Ltd,SATIN,"Consumer Finance","1558.3649704450002","39","5.09782608695652","73","97","98"
Oriental Hotels Ltd,ORIENTHOT,"Hotels, Resorts & Cruise Lines","1557.3848496","68",,"56",,"56"
Subex Ltd,SUBEXLTD,"Software Services","1556.270281375","13",,"9",,"1"
JITF Infralogistics Ltd,JITFINFRA,"Shipbuilding","1548.6482865","30","5.4","60",,"52"
S H Kelkar and Company Ltd,SHK,"Specialty Chemicals","1541.671251365","32","4.1078431372549","23","93","76"
Abans Holdings Ltd,AHL,"Investment Banking & Brokerage","1532.71096175","45",,,"61",
Refex Industries Ltd,REFEX,"Commodity Chemicals","1531.6851578399999","14",,"88","36","73"
I G Petrochemicals Ltd,IGPL,"Specialty Chemicals","1523.26725525","74","5.16875","24","100","75"
SEPC Ltd,SEPC,"Construction & Engineering","1522.28620998","12",,"55",,"25"
Ramco Industries Ltd,RAMCOIND,"Cement","1519.5925953","24","5.15","7","100","54"
Vardhman Special Steels Ltd,VSSL,"Iron & Steel","1513.3711715","54","4.74253731343284","98","87","86"
Kotak Nifty ETF,KOTAKNIFTY,"Equity","1502.04666942",,,,,
Morepen Laboratories Ltd,MOREPENLAB,"Pharmaceuticals","1497.72431444","64","4.89071428571429","9",,"2"
Kabra Extrusion Technik Ltd,KABRAEXTRU,"Industrial Machinery","1496.81968336","56","4.61372549019608","92","35","74"
Gulshan Polyols Ltd,GULPOLY,"Specialty Chemicals","1489.4644464","24","5.42745098039216","58","83","73"
Nitin Spinners Ltd,NITINSPIN,"Textiles","1486.1757","90","7.28524590163935","83","97","94"
Marathon Nextgen Realty Ltd,MARATHON,"Real Estate","1485.27264291","33","5.175","74","42","79"
DISA India Ltd,DISAQ,"Industrial Machinery","1483.514501775","93",,"90","51","76"
Balu Forge Industries Ltd,BALUFORGE,,"1482.22767308","6",,"99","31","77"
Sangam (India) Ltd,SANGAMIND,"Textiles","1481.73050532","32","4.81393442622951","43","97","76"
Jai Balaji Industries Ltd,JAIBALAJI,"Iron & Steel","1481.44122558","93","3.34029850746269","84","52","86"
Jash Engineering Ltd,JASH,"Construction & Engineering","1477.09839303","44",,"98","41","80"
Bhagiradha Chemicals and Industries Ltd,BHAGCHEM,"Fertilizers & Agro Chemicals","1476.173845795","24","4.75882352941176","54","35","32"
Stove Kraft Ltd,STOVEKRAFT,"Home Electronics & Appliances","1473.8162249","50","6.93636363636364","15","56","23"
Heranba Industries Ltd,HERANBA,"Fertilizers & Agro Chemicals","1461.8920168450002","40","6.93970588235294","22","99","65"
Welspun Specialty Solutions Ltd,WELSPLSOL,"Iron & Steel","1456.154911532","1",,"92",,"68"
Andhra Sugars Ltd,ANDHRSUGAR,"Commodity Chemicals","1455.6500886","62",,"19","100","77"
Transformers and Rectifiers (India) Ltd,TRIL,"Heavy Electrical Equipments","1448.9257223","69","2.53","97",,"82"
SML Isuzu Ltd,SMLISUZU,"Trucks & Buses","1448.10525699","40","1.15714285714286","95",,"73"
Tamilnadu Newsprint & Papers Ltd,TNPL,"Paper Products","1437.850215","74","3.17666666666667","25",,"79"
Hester Biosciences Ltd,HESTERBIO,"Biotechnology","1437.787787975","6","6.76666666666667","2","42","26"
TCPL Packaging Ltd,TCPLPACK,"Packaging","1436.666364","24","4.655","59","61","66"
Remedium Lifecare Ltd,REMLIFE,,"1435.968","77",,"100","1","76"
Igarashi Motors India Ltd,IGARASHI,"Auto Parts","1435.1048135600001","34","3.44237288135593","82",,"77"
Sasken Technologies Ltd,SASKEN,"Software Services","1428.02664048","56","5.53636363636364","19","98","60"
Udaipur Cement Works Ltd,UDAICEMENT,"Cement","1426.56837015","14","4.42702702702703","13",,"18"
BF Investment Ltd,BFINVEST,"Asset Management","1423.27132398","14",,"78","100","99"
IFGL Refractories Ltd,IFGLEXPOR,"Industrial Machinery","1423.1924308799998","15","5.1","22","92","43"
Kiri Industries Ltd,KIRIINDUS,"Specialty Chemicals","1421.81240773","17","3.83529411764706","19","100","66"
Themis Medicare Ltd,THEMISMED,"Pharmaceuticals","1420.6316049","51","6.07785714285714","60","83","70"
New Delhi Television Ltd,NDTV,"TV Channels & Broadcasters","1420.624368345","10","5.75769230769231","2","30","1"
Reliance Industrial Infrastructure Ltd,RIIL,"Oil & Gas - Storage & Transportation","1419.0225","31","4.45","36","1","12"
Media Matrix Worldwide Ltd,MMWL,"Advertising","1417.060515969","1",,"36",,"11"
Hardwyn India Ltd,HARDWYN,"Building Products - Glass","1411.225534015","73",,"81",,"56"
Prakash Industries Ltd,PRAKASH,"Iron & Steel","1410.269482125","49","4.53582089552239","76","99","99"
Polo Queen Industrial and Fintech Ltd,PQIF,"FMCG - Household Products","1406.7925","31",,"25",,"5"
Rico Auto Industries Ltd,RICOAUTO,"Auto Parts","1405.61115","39",,"95",,"92"
BF Utilities Ltd,BFUTILITIE,"Renewable Energy","1403.30748114","74",,"24","52","45"
Goldiam International Ltd,GOLDIAM,"Precious Metals, Jewellery & Watches","1403.048168125","28","7.36911764705882","63","92","81"
John Cockerill India Ltd,COCKERILL,,"1401.99324509","96",,"97","6","78"
Ugar Sugar Works Ltd,UGARSUGAR,"Sugar","1400.625","24","4.71791044776119","86","48","79"
KCP Ltd,KCP,"Cement","1392.348528","89","6.56081081081081","7","99","54"
Southern Petrochemical Industries Corporation Ltd,SPIC,"Fertilizers & Agro Chemicals","1391.8816965600001","10",,"60","98","85"
Matrimony.Com Ltd,MATRIMONY,"Online Services","1389.390790425","73","4.9","2","58","27"
PIX Transmissions Ltd,PIXTRANS,"Industrial Machinery","1367.152568","89","7.53725490196078","42","70","53"
Sanmit Infra Ltd,SANINFRA,,"1359.812545","43",,"97",,"73"
Permanent Magnets Ltd,PERMAGN,"Metals - Diversified","1358.168643615","27",,"95","12","72"
Solara Active Pharma Sciences Ltd,SOLARA,"Pharmaceuticals","1348.240180485","1","3.33285714285714","11","83","63"
Valiant Organics Ltd,VALIANTORG,"Commodity Chemicals","1339.88886536","17","6.04910714285714","28","94","50"
Alicon Castalloy Ltd,ALICON,"Auto Parts","1339.2967","64","2.75423728813559","61",,"64"
Everest Industries Ltd,EVERESTIND,"Building Products - Prefab Structures","1332.17291386","51","4.71190476190476","63","69","67"
Universal Cables Ltd,UNIVCABLES,"Cables","1331.95567659","31","4.44285714285714","99","90","95"
Suven Life Sciences Ltd,SUVEN,"Pharmaceuticals","1329.159305115","1","4.25","2",,"1"
Avantel Ltd,AVANTEL,"Communication & Networking","1324.03523408","15",,"80","16","59"
Everest Kanto Cylinder Ltd,EKC,"Gas Distribution","1321.24545555","66","7.6875","41","87","90"
Krishana Phoschem Ltd,KRISHANA,"Fertilizers & Agro Chemicals","1319.074794","11","6.35882352941176","90","37","73"
Bharat Wire Ropes Ltd,BHARATWIRE,"Iron & Steel","1309.7276299799998","64","4.36567164179105","86","63","86"
Sterling Tools Ltd,STERTOOLS,"Industrial Machinery","1308.39934352","56","4.65762711864407","99","68","82"
Himatsingka Seide Ltd,HIMATSEIDE,"Textiles","1308.0033706","27","3.5327868852459","39",,"56"
Shaily Engineering Plastics Ltd,SHAILY,"Industrial Machinery","1307.91204765","17","4.61862745098039","43","23","23"
AVT Natural Products Ltd,AVTNPL,"Agro Products","1307.35814","83","7.58432835820896","14","81","28"
Jay Bharat Maruti Ltd,JAYBARMARU,"Auto Parts","1299.866","67","2.96610169491525","77","46","75"
Deep Industries Ltd,DEEPINDS,"Oil & Gas - Equipment & Services","1299.52","33",,"92","81","92"
Sree Rayalaseema Hi-Strength Hypo Ltd,SRHHYPOLTD,"Commodity Chemicals","1295.77233729","91","6.93214285714286","24","93","53"
DCW Ltd,DCW,"Commodity Chemicals","1289.82742429","70","3.70803571428571","37","92","78"
EKI Energy Services Ltd,EKI,,"1289.32206612","91",,"9","100","47"
RACL Geartech Ltd,RACLGEAR,"Auto Parts","1286.406604","11",,"100","28","80"
GTPL Hathway Ltd,GTPL,"Cable & D2H","1280.9540028200001","39","8.21666666666667","1","99","69"
5Paisa Capital Ltd,5PAISA,"Diversified Financials","1274.7743173200001","6","4.465","43","10","19"
Ajmera Realty & Infra India Ltd,AJMERA,"Real Estate","1273.0224","34","7.22222222222222","65","58","72"
RPSG Ventures Ltd,RPSGVENT,"Packaged Foods & Meats","1272.974627215","63","3.66071428571429","6","61","51"
Pearl Global Industries Ltd,PGIL,"Apparel & Accessories","1271.131503475","23","3.76764705882353","65","81","78"
Ram Ratna Wires Ltd,RAMRAT,"Electrical Components & Equipments","1270.94","94",,"76","77","86"
Onward Technologies Ltd,ONWARDTEC,"Outsourced services","1261.9351357","61","4.84615384615385","52","5","23"
Madras Fertilizers Ltd,MADRASFERT,"Fertilizers & Agro Chemicals","1259.0066595","62","2.50294117647059","76","98","90"
Pokarna Ltd,POKARNA,"Cement","1258.29734","15","3.65945945945946","2","85","22"
63 Moons Technologies Ltd,63MOONS,"IT Services & Consulting","1251.262672235","12","4.38636363636364","21",,"10"
HPL Electric & Power Ltd,HPL,"Electrical Components & Equipments","1245.17891139","43","2.38571428571429","77",,"82"
Kitex Garments Ltd,KITEX,"Apparel & Accessories","1244.5475","33","6.43676470588235","24","97","53"
Xchanging Solutions Ltd,XCHANGING,"IT Services & Consulting","1243.26547056","78","6.68214285714286","4","69","11"
Spectrum Electrical Industries Ltd,SPECTRUM,"Electrical Components & Equipments","1237.6345032","13",,,"1",
PTC India Financial Services Ltd,PFS,"Specialized Finance","1236.395419875","74",,"77","100","99"
Goodluck India Ltd,GOODLUCK,"Iron & Steel","1234.29928125","44","4.03731343283582","55","85","77"
Uttam Sugar Mills Ltd,UTTAMSUGAR,"Sugar","1233.768182","81","5.79776119402985","40","97","83"
Insecticides (India) Ltd,INSECTICID,"Fertilizers & Agro Chemicals","1233.489856975","69","4.50294117647059","18","97","83"
Apollo Micro Systems Ltd,APOLLO,"Electronic Equipments","1232.93218985","47",,"99",,"83"
Nalwa Sons Investments Ltd,NSIL,"Asset Management","1232.21686533","7",,"66","91","92"
Ksolves India Ltd,KSOLVES,"IT Services & Consulting","1227.74808","99",,"62","16","37"
GMR Power and Urban Infra Ltd,GMRP&UI,"Power Generation","1216.2429739200002","68",,"8",,"48"
Andrew Yule & Co Ltd,ANDREWYU,"Tea & Coffee","1215.0431803299998","1",,"28",,"7"
KMC Speciality Hospitals India Ltd,KMCSHIL,"Hospitals & Diagnostic Centres","1212.04772","86",,"31",,"11"
Ritesh Properties and Industries Ltd,RPIL,,"1211.4496186","16",,"33",,"7"
Pitti Engineering Ltd,PITTIENG,"Industrial Machinery","1211.011781595","56","5.51","69","67","51"
Kokuyo Camlin Ltd,KOKUYOCMLN,"Stationery","1210.16541939","83","4.16666666666667","56",,"41"
Mangalore Chemicals and Fertilisers Ltd,MANGCHEFER,"Fertilizers & Agro Chemicals","1207.6693785","17","2.95147058823529","35","93","57"
Mahanagar Telephone Nigam Ltd,MTNL,"Telecom Services","1203.3","38","3.5","14",,"40"
Indo Rama Synthetics (India) Ltd,INDORAMA,"Textiles","1195.89823158","2","4.37459016393443","33",,"13"
Ngl Fine Chem Ltd,NGLFINE,"Pharmaceuticals","1195.63298472","13",,"15","69","12"
Indian Hume Pipe Company Ltd,INDIANHUME,"Water Management","1194.2957259","55","3.95952380952381","27","65","67"
Genesys International Corporation Ltd,GENESYS,"IT Services & Consulting","1182.44602388","88",,"1","93","22"
Infobeans Technologies Ltd,INFOBEAN,"Software Services","1182.34726645","74","5.46136363636364","1","61","8"
Pennar Industries Ltd,PENIND,"Iron & Steel","1176.056403165","86","2.61119402985075","97","83","82"
TV Today Network Ltd,TVTODAY,"TV Channels & Broadcasters","1174.87502935","99","7.51538461538461","6","97","79"
Raghav Productivity Enhancers Ltd,RPEL,"Commodity Chemicals","1172.3614265","13",,"77","23","57"
Excel Industries Ltd,EXCELINDUS,"Fertilizers & Agro Chemicals","1169.76574406","43","6.525","27","100","77"
S. P. Apparels Ltd,SPAL,"Apparel & Accessories","1166.931363","41","4.94117647058823","40","92","72"
BCL Industries Ltd,BCLIND,"FMCG - Foods","1163.7657607","14","6.61716417910448","80","90","90"
Cressanda Solutions Ltd,CRESSAN,"IT Services & Consulting","1160.262783852","6",,"7",,"1"
Pnb Gilts Ltd,PNBGILTS,"Investment Banking & Brokerage","1158.36521229","1","3.855","36","100","73"
India Power Corporation Ltd,DPSCLTD,"Power Generation","1153.94115","31","5.1","33",,"17"
Rane (Madras) Ltd,RML,"Auto Parts","1147.83989219","33","2.17457627118644","100","60","91"
Shree Digvijay Cement Co Ltd,SHREDIGCEM,"Cement","1147.34306981","96","7.61081081081081","54","82","79"
Roto Pumps Ltd,ROTO,"Industrial Machinery","1143.237004","20","6.56960784313726","100","52","83"
Manali Petrochemicals Ltd,MANALIPETC,"Specialty Chemicals","1138.63489598","87","8.02941176470588","18","100","80"
Uniphos Enterprises Ltd,UNIENTER,"Fertilizers & Agro Chemicals","1137.77008964","3","6.63947368421053","69","97","87"
Shivalik Rasayan Ltd,SHIVALIK,"Fertilizers & Agro Chemicals","1136.60514905","13","4.57205882352941","27","35","10"
Asian Star Co Ltd,ASTAR,"Precious Metals, Jewellery & Watches","1129.439808","36",,"26","95","51"
Sat Industries Ltd,SATINDLTD,"Business Support Services","1126.892025","15",,,"48",
Oriental Aromatics Ltd,OAL,"Specialty Chemicals","1121.00061656","14","5.26666666666667","18","77","21"
Satia Industries Ltd,SATIA,"Paper Products","1117.5","23","5.97666666666667","21","81","59"
Geojit Financial Services Ltd,GEOJITFSL,"Investment Banking & Brokerage","1116.57205286","41","6.80333333333333","36","88","72"
Veranda Learning Solutions Pvt Ltd,VERANDA,"Education Services","1115.0698436100001","1",,"1",,"1"
Mishtann Foods Ltd,MISHTANN,"FMCG - Foods","1112","31",,"18",,"6"
Dhampur Bio Organics Ltd,DBOL,"Sugar","1110.33244275","75",,"22","92","74"
Gujarat Themis Biosyn Ltd,GUJTHEM,"Pharmaceuticals","1109.4843282299998","68",,"46","63","44"
Shriram Properties Ltd,SHRIRAMPPS,"Real Estate","1109.368474425","34","4.4375","11",,"62"
G M Breweries Ltd,GMBREW,"Alcoholic Beverages","1102.04415371","67","5.725","14","92","53"
Elpro International Ltd,ELPROINTL,"Real Estate","1098.73319979","6",,,,
Shalimar Paints Ltd,SHALPAINTS,"Specialty Chemicals","1098.41944446","12","2.21372549019608","19",,"4"
Knowledge Marine & Engineering Works Ltd,KMEW,,"1097.3816","97",,"79","12","65"
Sportking India Ltd,SPORTKING,"Textiles","1095.106496","44",,"46","100","87"
