Name,Ticker,"Sub-Sector","Market Cap","Close Price","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
Greenlam Industries Ltd,GREENLAM,"Building Products - Laminates","5888.00958075","470.45","60","32","55","4.3","11"
Gujarat Pipavav Port Ltd,GPPL,"Ports","5868.9605074","120.75","90",,"87","6.3","89"
TCI Express Ltd,TCIEXP,"Logistics","5861.860421175","1514.55","9","29","12","7.35","43"
Reliance Power Ltd,RPOWER,"Power Generation","5845.597336790001","15.7","48",,"11",,"58"
Transport Corporation of India Ltd,TCI,"Logistics","5808.0920471","749.95","33","63","22","7.30909090909091","90"
Star Cement Ltd,STARCEMENT,"Cement","5802.009886035","143.45","84","51","74","5.92027027027027","88"
Mishra Dhatu Nigam Ltd,MIDHANI,"Metals - Diversified","5776.6289","311.45","23","41","70","4.77014925373134","13"
Kennametal India Ltd,KENNAMET,"Industrial Machinery","5768.0791968","2611.45","40","22","56","5.82549019607843","31"
Gujarat Ambuja Exports Ltd,GAEL,"Agro Products","5707.00968705","260.8","42","92","11","6.63333333333333","73"
HG Infra Engineering Ltd (Part IX),HGINFRA,"Construction & Engineering","5702.4625","913.35","89","84","91","7.35079365079365","19"
Vaibhav Global Ltd,VAIBHAVGBL,"Apparel & Accessories","5680.464359075","335.2","42","61","24","6.61323529411765","52"
Gujarat Mineral Development Corporation Ltd,GMDCLTD,"Mining - Diversified","5658.81","178.5","70","93","52","6.4","39"
Power Mech Projects Ltd,POWERMECH,"Construction & Engineering","5654.502932595","3840.55","77","76","88","5.18174603174603","92"
Rain Industries Ltd,RAIN,"Commodity Chemicals","5638.835308435","167.25","82","100","38","3.42946428571428","45"
Rattanindia Enterprises Ltd,RTNINDIA,"Power Trading & Consultancy","5620.21254828","40.8","50","97","32",,"1"
Kirloskar Brothers Ltd,KIRLOSBROS,"Industrial Machinery","5593.16770281","694.15","88","68","93","2.99313725490196","87"
VST Industries Ltd,VSTIND,"FMCG - Tobacco","5536.030448","3598.4","56","75","41","6.5","70"
Bengal & Assam Company Ltd,BENGALASM,"Diversified Financials","5529.439592719999","4850","98","97","87",,"40"
Religare Enterprises Ltd,RELIGARE,"Investment Banking & Brokerage","5527.544849845","168.15","15",,"45",,"86"
Avanti Feeds Ltd,AVANTIFEED,"Packaged Foods & Meats","5527.4852091","407","71","79","11","6.66417910447761","6"
Vesuvius India Ltd,VESUVIUS,"Industrial Machinery","5499.6287976","2709.1","58","40","91","4.75980392156863","70"
Restaurant Brands Asia Ltd,RBA,"Restaurants & Cafes","5482.55460351","114.1","5",,"8","5.64285714285714","2"
JK Paper Ltd,JKPAPER,"Paper Products","5475.9307698","320.35","80","97","18","6.23","31"
Sunteck Realty Ltd,SUNTECK,"Real Estate","5454.86745832","374","14",,"10","4.95555555555556","20"
Indiabulls Housing Finance Ltd,IBULHSGFIN,"Home Financing","5452.69203765","123.55","93",,"48","4.97727272727273","40"
Reliance Infrastructure Ltd,RELINFRA,"Power Infrastructure","5440.4999","162.4","78",,"35","4.25","68"
F D C Ltd,FDC,"Pharmaceuticals","5425.2597468","328.25","33","69","35","5.78571428571429","34"
LT Foods Ltd,DAAWAT,"Packaged Foods & Meats","5354.64039648","160.75","49","82","31",,"80"
R Systems International Ltd,RSYSTEMS,"IT Services & Consulting","5335.4853695","450.2","31","53","45","6.33461538461539","86"
Ujjivan Financial Services Ltd,UJJIVAN,"Consumer Finance","5330.71729814","429.35","99","98","81","3.58913043478261","22"
ICRA Ltd,ICRA,"Stock Exchanges & Ratings","5292.384116985","5528.15","82","47","95","4.84166666666667","71"
Brightcom Group Ltd,BCG,"Advertising","5288.52730726","27.05","54","100","3",,"63"
Sobha Ltd,SOBHA,"Real Estate","5273.4294268","560.95","33","74","17","4.39821428571429","92"
Nippon India ETF Gold BeES,GOLDBEES,"Gold","5168.879891351","51.08",,,,,
Varroc Engineering Ltd,VARROC,"Auto Parts","5167.236048","335.45","65","37","57","1.36271186440678","52"
Spandana Sphoorty Financial Ltd,SPANDANA,"Consumer Finance","5140.110151559999","734.5","77","85","68",,"1"
Orient Electric Ltd,ORIENTELEC,"Home Electronics & Appliances","5094.110838625","237.6","11","33","29","6.59545454545454","57"
Zen Technologies Ltd,ZENTEC,"Electronic Equipments","5091.0596908","609.25","67",,"91","7.10714285714286","21"
Isgec Heavy Engineering Ltd,ISGEC,"Heavy Machinery","5066.55088655","678.8","69","53","66","3.08039215686274","20"
GHCL Ltd,GHCL,"Commodity Chemicals","5064.61287121","518.9","94","99","28","4.42946428571429","71"
La Opala R G Ltd,LAOPALA,"Housewares","5052.165","451","44",,"52","7","80"
Delta Corp Ltd,DELTACORP,"Theme Parks & Gaming","5043.468611994999","189.55","35","93","15","10","40"
MMTC Ltd,MMTC,"Commodities Trading","5017.5","33.15","4",,"14",,"12"
Marksans Pharma Ltd,MARKSANS,"Pharmaceuticals","5011.99103076","108.8","69","75","69","7.625","39"
Newgen Software Technologies Ltd,NEWGEN,"Software Services","4997.686177359999","802.65","79","66","59","7.75","83"
Hinduja Global Solutions Ltd,HGS,"Outsourced services","4993.02218905","1068.8","60",,"7","4.27564102564103","12"
Paradeep Phosphates Ltd,PARADEEP,"Fertilizers & Agro Chemicals","4980.652940185","62.15","65","90","54",,"24"
ideaForge Technology Ltd,IDEAFORGE,"Aerospace & Defense Equipments","4979.221308390001","1191.5",,,,,
Responsive Industries Ltd,RESPONIND,"Building Products - Granite","4976.5872915","190.55","27",,"54","2.70714285714286","21"
JSW Holdings Ltd,JSWHL,"Asset Management","4957.42436695","4443.3","93","93","66",,"72"
Gujarat Alkalies And Chemicals Ltd,GUJALKALI,"Commodity Chemicals","4957.35982464","672.45","74","98","24","4.50982142857143","30"
Nava Limited,NAVA,"Iron & Steel","4931.97068562","337.05","87","100","44","7.27777777777778","52"
Sharda Cropchem Ltd,SHARDACROP,"Fertilizers & Agro Chemicals","4911.6037478","518.35","68","82","59","5.25294117647059","86"
Rossari Biotech Ltd,ROSSARI,"Specialty Chemicals","4904.977369980001","883.4","13","45","29","6.44509803921569","81"
Mrs. Bectors Food Specialities Ltd,BECTORFOOD,"FMCG - Foods","4903.31872001","842.2","73","25","80","6.23358208955224","44"
Sansera Engineering Ltd,SANSERA,"Auto Parts","4894.32103836","912.95","70","71","87","5.73389830508474","32"
Shriram Pistons & Rings Ltd,SHRIPISTON,"Auto Parts","4891.95320432","2204.5","90","72","100","6.69576271186441","84"
Borosil Ltd,BOROLTD,"Housewares","4875.191434215","425","8","6","33","7.16666666666667","8"
CSB Bank Ltd,CSBBANK,"Private Banks","4874.2949751099995","289.3","85","87","78","6.86","15"
ELANTAS Beck India Ltd,ELANTAS,"Electrical Components & Equipments","4866.64542616","6150","76","19","97",,"98"
Techno Electric & Engineering Company Ltd,TECHNOE,"Construction & Engineering","4863.30346861","438.5","35",,"73","7.50634920634921","95"
Aarti Drugs Ltd,AARTIDRUGS,"Pharmaceuticals","4797.143","511.2","57","71","5","5.08142857142857","29"
South Indian Bank Ltd,SOUTHBANK,"Private Banks","4771.44952104","21.85","97","96","89","3.68870967741936","66"
Rategain Travel Technologies Ltd,RATEGAIN,"Software Services","4716.13053968","429.75","35","7","60","3.475","73"
Vijaya Diagnostic Centre Ltd,VIJAYA,"Hospitals & Diagnostic Centres","4704.033102044999","459.15","38","25","36",,"61"
Genus Power Infrastructures Ltd,GENUSPOWER,"Electronic Equipments","4703.1797549699995","187.05","19",,"67","4.71428571428571","32"
Tata Coffee Ltd,TATACOFFEE,"Tea & Coffee","4683.26702775","252.65","34","76","21","5.39477611940298","36"
shipping corporation of India Ltd,SCI,"Logistics","4611.410199","98.25","81","100","32","6.5625","44"
HBL Power Systems Ltd,HBLPOWER,"Batteries","4605.59402779","166.05","57","36","72","4.76857142857143","56"
Ahluwalia Contracts (India) Ltd,AHLUCONT,"Construction & Engineering","4605.39475","676.2","83","67","86","6.26349206349206","52"
Voltamp Transformers Ltd,VOLTAMP,"Heavy Electrical Equipments","4537.3259776","4757.1","76","43","71","7.23","76"
PDS Limited,PDSL,"Textiles","4529.215960925","349.15","75","86","57",,"63"
Arvind Fashions Ltd,ARVINDFASN,"Textiles","4507.59951603","333.8","43","30","35","4.58333333333333","75"
HLE Glascoat Ltd,HLEGLAS,"Industrial Machinery","4491.1859292","656","17","20","43",,"14"
Railtel Corporation of India Ltd,RAILTEL,"Communication & Networking","4489.9283139300005","144.6","58","70","26","10","88"
Lux Industries Ltd,LUXIND,"Apparel & Accessories","4472.110039915","1478","34","92","19","7.87352941176471","12"
Healthcare Global Enterprises Ltd,HCG,"Hospitals & Diagnostic Centres","4456.5129168","320.2","60","24","41","2.54615384615385","76"
Nippon India ETF Nifty BeES,NIFTYBEES,"Equity","4449.399917086","219.51",,,,,
Edelweiss Financial Services Ltd,EDELWEISS,"Diversified Financials","4446.9735552","49","96","94","72","2.21521739130435","66"
Gravita India Ltd,GRAVITA,"Metals - Lead","4439.00293254","658.6","80","77","96","6.85","28"
Nesco Ltd,NESCO,"Real Estate","4434.3975826","635.05","83","79","29","7.425","75"
V-mart Retail Ltd,VMART,"Retail - Department Stores","4426.76840135","2230.15","4","3","22","8.65","7"
Jamna Auto Industries Ltd,JAMNAAUTO,"Auto Parts","4425.039764075","109.9","42","46","40","5.37881355932203","86"
Greenpanel Industries Ltd,GREENPANEL,"Wood Products","4417.0387679","357.85","26","59","15","8.075","82"
Nazara Technologies Ltd,NAZARA,"Theme Parks & Gaming","4388.9966519","657.25","2","12","12","10","53"
Prudent Corporate Advisory Services Ltd,PRUDENT,"Asset Management","4381.6548776","1085.05","55","23","76",,"70"
Privi Speciality Chemicals Ltd,PRIVISCL,"Specialty Chemicals","4339.28069601","1096.9","4","1","21","3.81071428571429","12"
Surya Roshni Ltd,SURYAROSNI,"Iron & Steel","4306.40209144","792.1","95","90","97","4.51044776119403","85"
Avalon Technologies Ltd,AVALON,"Technology Hardware","4277.96964504","641.25","75",,,,"32"
Anand Rathi Wealth Ltd,ANANDRATHI,"Asset Management","4272.62843503","1036.6","68","62","87","3.99782608695652","62"
Rajratan Global Wire Ltd,RAJRATAN,"Iron & Steel","4271.87194","828.8","8","37","29","5.95373134328358","23"
Rallis India Ltd,RALLIS,"Fertilizers & Agro Chemicals","4268.5921355","220.75","13","53","19","4.15882352941177","52"
Kirloskar Pneumatic Company Ltd,KIRLPNU,"Industrial Machinery","4261.72707435","648.5","43","37","82",,"33"
Ami Organics Ltd,AMIORG,"Pharmaceuticals","4250.747652919999","1149.7","22","28","44","7.54357142857143","22"
Man Infraconstruction Ltd,MANINFRA,"Construction & Engineering","4241.535877125","114.75","63","75","54","5.80079365079365","52"
MAS Financial Services Ltd,MASFIN,"Diversified Financials","4217.449927665","775.7","61","74","47","4.84130434782609","6"
Indo Count Industries Ltd,ICIL,"Textiles","4157.1605966","213","68","77","68","6.60901639344262","8"
TeamLease Services Ltd,TEAMLEASE,"Employment Services","4136.30750686","2488.75","21","42","2","7.75","23"
Somany Home Innovation Ltd,HINDWAREAP,"Home Furnishing","4116.918213275","596.1","57","44","65","5.63157894736842","98"
Kewal Kiran Clothing Ltd,KKCL,"Apparel & Accessories","4114.0973506","671.15","55",,"49","5.10882352941177","95"
Meghmani Finechem Ltd,MFL,"Specialty Chemicals","4086.66579009","979","58","91","29","5.775","64"
Harsha Engineers International Ltd,HARSHA,"Industrial Machinery","4086.0594324","445.6","48","50",,,"39"
Shivalik Bimetal Controls Ltd,SBCL,"Iron & Steel","4084.13778","705.05","69","10","92","6.07985074626866","19"
Polyplex Corp Ltd,POLYPLEX,"Commodity Chemicals","4078.97954997","1297.6","73","100","21","6.46071428571429","54"
Infibeam Avenues Ltd,INFIBEAM,"IT Services & Consulting","4078.1683962","14.95","27",,"51","4.66785714285714","56"
Jaiprakash Power Ventures Ltd,JPPOWER,"Renewable Energy","4077.808002065","5.95","57",,"9","4.70833333333333","46"
Shrem Invit,SHREMINVIT,"Roads","4060.888","114",,"86",,,"9"
Dreamfolks Services Ltd,DREAMFOLKS,"Logistics","4036.33242144","794.85","58","19","66",,"63"
AGI Greenpac Ltd,AGI,"Packaging","4033.23473154","640.6","82","53","91","4.47083333333333","17"
Neuland Laboratories Ltd,NEULANDLAB,"Pharmaceuticals","4019.668373145","3218.35","81","64","62","4.94357142857143","95"
Sula Vineyards Ltd,SULA,"Alcoholic Beverages","4013.01335204","472.9","27","23",,,"54"
Technocraft Industries (India) Ltd,TIIL,"Industrial Machinery","4009.3401670699996","1757.45","96","91","96","6.49607843137255","48"
Share India Securities Ltd,SHAREINDIA,"Investment Banking & Brokerage","4004.0285817599997","1232.35","59","71","52","5.91","71"
Cyient DLM Ltd,CYIENTDLM,"Industrial Machinery","4002.9766089","508.2",,,,,
Sindhu Trade Links Ltd,SINDHUTRAD,"Conglomerates","3993.5955402","25.65",,,,,"50"
Sunflag Iron and Steel Co Ltd,SUNFLAG,"Iron & Steel","3991.8607732","218.6","93","80","96","4.6634328358209","18"
Heidelbergcement India Ltd,HEIDELBERG,"Cement","3984.9916448599997","174.95","49","88","14","5.45","86"
Thomas Cook (India) Ltd,THOMASCOOK,"Tour & Travel Services","3984.5289814949997","83.8","3",,"7","4.36111111111111","22"
Ganesh Housing Corp Ltd,GANESHHOUC,"Real Estate","3940.8738734","449.6","10","12","31","3.225","74"
Neogen Chemicals Ltd,NEOGEN,"Specialty Chemicals","3923.3284965400003","1576.05","12","18","63","5.35490196078431","10"
Strides Pharma Science Ltd,STAR,"Pharmaceuticals","3922.25252068","438.55","43","71","32",,"8"
Bharat Rasayan Ltd,BHARATRAS,"Fertilizers & Agro Chemicals","3914.76108816","9416.7","16","74","18","5.93529411764706","16"
DCB Bank Ltd,DCBBANK,"Private Banks","3895.5453061099997","124.85","97","97","65","4.31612903225806","16"
TD Power Systems Ltd,TDPOWERSYS,"Heavy Electrical Equipments","3883.8509287199995","248.35","76","29","95",,"45"
Electronics Mart India Ltd,EMIL,"Home Electronics & Appliances","3853.2588514300005","100.25","72",,,,"48"
JTEKT India Ltd,JTEKTINDIA,"Auto Parts","3829.786546885","156.7","35","17","77","3.69152542372881","40"
Moil Ltd,MOIL,"Mining - Manganese","3814.330280195","185.15","81","91","61","5.21641791044776","58"
Hikal Ltd,HIKAL,"Pharmaceuticals","3812.45919","305.8","14","54","10","3.72071428571429","55"
PTC Industries Ltd,PTCIL,"Iron & Steel","3777.94497367","3896.7","43","1","69",,"21"
Tips Industries Ltd,TIPSINDLTD,"Movies & TV Serials","3776.38387895","292.35","5","41","18",,"100"
Emudhra Ltd,EMUDHRA,"IT Services & Consulting","3763.86900591","479.2","5","13","25",,"16"
LG Balakrishnan & Bros Ltd,LGBBROSLTD,"Industrial Machinery","3763.6367542400003","1166.9","80","76","82","6.89607843137255","87"
IRB InvIT Fund,IRBINVIT,"Roads","3730.8735","70.95","100","87","100",,"86"
Nilkamal Ltd,NILKAMAL,"Plastic Products","3727.273681875","2437.15","70","66","60","4.42916666666667","40"
Motilal Oswal NASDAQ 100 ETF,MON100,"Equity","3724.72539368","125.08",,,,,
Gateway Distriparks Ltd,GATEWAY,"Logistics","3702.36082476","73.25","65","71","23",,"59"
Arvind Ltd,ARVIND,"Apparel & Accessories","3691.0368455099997","142.75","83","93","61","2.9344262295082","63"
Tinplate Company of India Ltd,TINPLATE,"Iron & Steel","3682.7308430300004","351.7","88","97","59","6.70522388059702","100"
Dodla Dairy Ltd,DODLA,"FMCG - Foods","3677.543414025","741.75","49","70","34","6.57686567164179","63"
Tatva Chintan Pharma Chem Ltd,TATVA,"Specialty Chemicals","3656.79192876","1662.1","3","24","28","6.48529411764706","7"
Lloyds Steels Industries Ltd,LSIL,"Industrial Machinery","3652.0033230699996","33.05","72",,"95","3.20098039215686","64"
Nirlon Ltd,NIRLON,"Real Estate","3629.9546512","390","65","62","60",,"70"
Nocil Ltd,NOCIL,"Commodity Chemicals","3565.384858475","212.7","26","69","21","5.36875","75"
Indiabulls Real Estate Ltd,IBREALEST,"Real Estate","3554.8649246699997","67.1","4",,"11","5.4","24"
Dhanuka Agritech Ltd,DHANUKA,"Fertilizers & Agro Chemicals","3540.7520999400003","777.55","81","85","53","5.86470588235294","35"
Dilip Buildcon Ltd,DBL,"Construction & Engineering","3532.55369936","242.85","91","89","37","3.71746031746032","13"
Steel Strips Wheels Ltd,SSWL,"Auto Parts","3523.894698","230.9","90","85","64",,"93"
Mold-Tek Packaging Ltd,MOLDTKPAC,"Plastic Products","3516.79210476","1046.2","34","38","73","7.21666666666667","19"
Shanthi Gears Ltd,SHANTIGEAR,"Auto Parts","3513.202488135","465.75","72","29","88","5.4156862745098","73"
Force Motors Ltd,FORCEMOT,"Four Wheelers","3505.93979296","2629.45","66",,"80","2.82857142857143","12"
PG Electroplast Ltd,PGEL,"Electronic Equipments","3499.0321337650003","1514.65","70","32","96","10","10"
National Fertilizers Ltd,NFL,"Fertilizers & Agro Chemicals","3497.823992","71.15","84",,"80","2.47647058823529","19"
Ethos Ltd,ETHOSLTD,"Precious Metals, Jewellery & Watches","3488.7256486949996","1499.05","33","13","78",,"29"
Patel Engineering Ltd,PATELENG,"Construction & Engineering","3487.43634818","45","73",,"45","4.10952380952381","83"
Globus Spirits Ltd,GLOBUSSPR,"Alcoholic Beverages","3482.2523541","1182.2","38","49","48","6.9375","15"
Hawkins Cookers Ltd,HAWKINCOOK,"Housewares","3476.9498751","6699.7","33","34","55",,"9"
Bannari Amman Sugars Ltd,BANARISUG,"Sugar","3474.123885","2734.15","14","48","27","3.97014925373134","21"
Prime Focus Ltd,PFOCUS,"Animation","3459.6482382","118.35","48",,"41","4.93846153846154","68"
Datamatics Global Services Ltd,DATAMATICS,"IT Services & Consulting","3455.61013494","564.65","67","72","59","5.75357142857143","89"
DB Corp Ltd,DBCORP,"Publishing","3455.0320576199997","197.7","72","91","16","5.925","93"
Choice International Ltd,CHOICEIN,"Investment Banking & Brokerage","3454.06152","345.15","67","11","89","3.94166666666667","19"
Dish TV India Ltd,DISHTV,"Cable & D2H","3424.7364464400002","19.3","65",,"11","2.18333333333333","98"
Black Box Ltd,BBOX,"Software Services","3421.05642875","198","5","37","11","3.16666666666667","42"
Astra Micro Wave Products Ltd,ASTRAMICRO,"Communication & Networking","3410.42468736","365.6","58","40","36","7.6","61"
IFB Industries Ltd,IFBIND,"Auto Parts","3385.54799978","832.15","7","26","12","3.33636363636364","59"
Wockhardt Ltd,WOCKPHARMA,"Pharmaceuticals","3375.415372525","234.25","21",,"9","2.02285714285714","46"
Tasty Bite Eatables Ltd,TASTYBITE,"Packaged Foods & Meats","3374.07189","13695.75","3","1","19","4.27835820895522","30"
Sudarshan Chemical Industries Ltd,SUDARSCHEM,"Diversified Chemicals","3365.1366225","480.7","78","54","55","3.93333333333333","12"
Advanced Enzyme Technologies Ltd,ADVENZYMES,"Specialty Chemicals","3353.044888875","302.05","39","52","37","6.14019607843137","59"
Automotive Axles Ltd,AUTOAXLES,"Auto Parts","3350.551537125","2186.3","87","82","95","4.87033898305085","61"
Electrosteel Castings Ltd,ELECTCAST,"Building Products - Pipes","3323.8433307299997","55.25","77",,"68","4.45238095238095","19"
Gokaldas Exports Ltd,GOKEX,"Apparel & Accessories","3322.5474562599998","535.9","66","65","74","5.73529411764706","89"
Sandur Manganese and Iron Ores Ltd,SANDUMA,"Mining - Diversified","3318.20547201","1219.9","100","100","93",,"71"
HMT Ltd,HMT,"Industrial Machinery","3311.25201","27.65","28",,"57",,"1"
Welspun Enterprises Ltd,WELENT,"Construction & Engineering","3305.3217828","238.8","92","85","79","5.66269841269841","15"
Ikio Lighting Ltd,IKIO,"Electrical Components & Equipments","3302.9771607400003","418.45",,"3",,,"13"
PTC India Ltd,PTC,"Power Trading & Consultancy","3284.212321495","110.7","93","98","65",,"80"
Kirloskar Industries Ltd,KIRLOSIND,"Investment Banking & Brokerage","3262.0656393","3291.8","97","85","98","5.70373134328358","39"
Tilaknagar Industries Ltd,TI,"Alcoholic Beverages","3230.0389946299997","166.3","46",,"65","4.10625","43"
Navneet Education Ltd,NAVNETEDUL,"Publishing","3219.01356563","141.2","64","66","3","6.355","38"
Tarsons Products Ltd,TARSONS,"Health Care Equipment & Supplies","3213.12730959","598.35","17","34","2",,"6"
Pricol Ltd,PRICOLLTD,"Auto Parts","3210.35865732","272.55","86","67","85","4.27796610169492","84"
Tata Steel Long Products Ltd,TATASTLLP,"Iron & Steel","3205.708","711.9","34",,"59","5.14029850746269","1"
West Coast Paper Mills Ltd,WSTCSTPAPR,"Paper Products","3199.07885898","484.35","72","89","33","6.94666666666667","94"
Greaves Cotton Ltd,GREAVESCOT,"Industrial Machinery","3189.99957375","135.35","67","69","34","2.3078431372549","49"
Goodyear India Ltd,GOODYEAR,"Tires & Rubber","3188.71392768","1359.3","92","85","81","6.7","46"
Va Tech Wabag Ltd,WABAG,"Water Management","3180.10753578","511.35","82","57","85",,"35"
Saksoft Ltd,SAKSOFT,"IT Services & Consulting","3177.568564","315.4","62","31","75",,"98"
Kaveri Seed Company Ltd,KSCL,"Seeds","3177.11482767","571.25","58","75","59","6.04166666666667","35"
Jai Corp Ltd,JAICORPLTD,"Textiles","3169.2615216","174.2","29",,"47","5.3375","47"
Magellanic Cloud Ltd,MCLOUD,"IT Services & Consulting","3160.99320408","270.65","47",,"68",,"60"
Uflex Ltd,UFLEX,"Packaging","3156.72511049","434.15","77","100","21","7.155","39"
Wonderla Holidays Ltd,WONDERLA,"Theme Parks & Gaming","3148.30520235","556.5","65","41","61","6.86666666666667","23"
Maithan Alloys Ltd,MAITHANALL,"Iron & Steel","3143.1740535","1118.15","88","100","57","6.95149253731343","60"
Bombay Super Hybrid Seeds Ltd,BSHSL,"Seeds","3140.248104","298.05","51",,"74",,"6"
IFCI Ltd,IFCI,"Specialized Finance","3136.91346738","12.6","44",,"58","3.23636363636364","27"
Time Technoplast Ltd,TIMETECHNO,"Plastic Products","3131.00175375","137.05","82","89","40","4.85416666666667","52"
Thyrocare Technologies Ltd,THYROCARE,"Hospitals & Diagnostic Centres","3120.7338738400003","570.6","6","33","7","7.06","72"
Orchid Pharma Ltd,ORCHPHARMA,"Pharmaceuticals","3104.51641705","585",,,"40","2.58428571428571",
Hindustan Construction Company Ltd,HCC,"Construction & Engineering","3079.01247654","19.95","82",,"59","4.53015873015873","99"
Somany Ceramics Ltd,SOMANYCERA,"Building Products - Ceramics","3060.69142848","746.65","50","64","52","2.82619047619048","24"
HMA Agro Industries Ltd,HMAAGRO,"nan","3053.443672575","628.05",,,,,
Aarti Pharmalabs Ltd,AARTIPHARM,"Labs & Life Sciences Services","3048.20577908","339.8",,"65",,,"11"
Indoco Remedies Ltd,INDOCO,"Pharmaceuticals","3038.657956125","331.8","11","59","4","4.69571428571429","64"
Fineotex Chemical Ltd,FCL,"Specialty Chemicals","3038.3829027","271.3","15","24","39",,"34"
Shree Global Tradefin Ltd,SHRGLTR,"Commodities Trading","3021.300724875","24.93","63",,"74",,"33"
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,"Sugar","3017.41721584","376.65","79","97","38","6.63507462686567","41"
Orient Cement Ltd,ORIENTCEM,"Cement","3015.6681472","143.2","51","64","19","5.57702702702703","32"
Landmark Cars Ltd,LANDMARK,"Retail - Speciality","3012.48855404","731.45","48",,,,"42"
ITD Cementation India Ltd,ITDCEM,"Construction & Engineering","3007.14165792","177.9","89","79","59","3.96666666666667","94"
KPI Global Infrastructure Ltd,KPIGREEN,"Renewable Energy","2998.39932","818.1","57","12","74","7.66666666666667","24"
Ramky Infrastructure Ltd,RAMKY,"Construction & Engineering","2997.64830612","423.8","70","1","78","1.67460317460318","86"
Raj Rayon Industries Ltd,RAJRILTD,"Textiles","2994.504235575","52.8","65",,"89",,"1"
Nucleus Software Exports Ltd,NUCLEUS,"Software Services","2992.0528236200003","1118.1","84","85","60","5.35454545454546","62"
Senco Gold Ltd,SENCO,"Precious Metals, Jewellery & Watches","2991.58476912","364.15",,,,,
Kovai Medical Center and Hospital Ltd,KOVAI,"Hospitals & Diagnostic Centres","2964.69646628","2740.95","82","66","87","5.11923076923077","66"
Apollo Pipes Ltd,APOLLOPIPE,"Building Products - Pipes","2949.73094493","763.7","52","13","75",,"39"
JTL Infra Ltd,JTLIND,"Iron & Steel","2947.5525108","353.45","43","53","93","6.30522388059702","24"
MSTC Ltd,MSTCLTD,"Commodities Trading","2936.736","408.95","80","92","59","3.38421052631579","24"
Bajaj Consumer Care Ltd,BAJAJCON,"FMCG - Personal Products","2933.81682","210.1","85","83","33","6.97777777777778","89"
Max Ventures and Industries Ltd,MAXVIL,"Packaging","2909.5856076","195.45","49",,"66","2.95","24"
Gabriel India Ltd,GABRIEL,"Auto Parts","2897.2982698","208.5","92","72","77","5.44745762711864","70"
Apcotex Industries Ltd,APCOTEXIND,"Specialty Chemicals","2895.541016","555.05","17","49","40","4.9375","13"
Waaree Renewable Technologies Ltd,WAAREERTL,,"2893.8863710200003","1358.25",,,,,
Subros Ltd,SUBROS,"Auto Parts","2886.6819375","440.75","67","38","70","4.43559322033898","85"
Mahindra Logistics Ltd,MAHLOG,"Logistics","2884.687666795","408.45","11","25","8","3.62727272727273","16"
Kolte-Patil Developers Ltd,KOLTEPATIL,"Real Estate","2870.3065058849998","373.5","26","65","34","3.92142857142857","93"
Uniparts India Ltd,UNIPARTS,"Industrial Machinery","2856.9783983","636.5","63","85",,,"60"
India Tourism Development Corp Ltd,ITDC,"Tour & Travel Services","2853.119091","332.45","1",,"8",,"38"
Hemisphere Properties India Ltd,HEMIPROP,"Real Estate","2848.575","99.75","10",,"35",,"19"
Hindustan Oil Exploration Company Ltd,HINDOILEXP,"Oil & Gas - Exploration & Production","2846.536795725","214.25","62","18","72","7.75","20"
Johnson Controls-Hitachi Air Conditioning India Ltd,JCHAC,"Home Electronics & Appliances","2811.94526886","1032","2","13","13","3.34545454545454","35"
D B Realty Ltd,DBREALTY,"Real Estate","2795.03719102","74.2","9",,"30",,"8"
Madhya Bharat Agro Products Ltd,MBAPL,"Fertilizers & Agro Chemicals","2783.25068175","632.2","74","28","93",,"15"
Jindal Poly Films Ltd,JINDALPOLY,"Packaging","2779.5614972400003","637.2","79","100","25","5.95","57"
Shilpa Medicare Ltd,SHILPAMED,"Pharmaceuticals","2754.2242235400004","319.3","5","57","3","2.77928571428571","12"
Sagar Cements Ltd,SAGCEM,"Cement","2752.70096088","210.4","14","35","23","4.64459459459459","15"
DCX Systems Ltd,DCXINDIA,"Cables","2738.730744365","272.4",,"38",,,"10"
WPIL Ltd,WPIL,"Industrial Machinery","2731.9499468","2859","96","90","98",,"97"
Dynamatic Technologies Ltd,DYNAMATECH,"Auto Parts","2712.060890405","3931.9","80","12","100","3.76949152542373","60"
Divgi TorqTransfer Systems Ltd,DIVGIITTS,"Industrial Machinery","2709.0356736599997","907.4",,"29",,,"24"
Venky's (India) Ltd,VENKEYS,"Packaged Foods & Meats","2708.71296608","1911","49","79","3","5.51492537313433","40"
Sg Finserve Ltd,SGFIN,,"2707.7157","620",,,,,"12"
Jayaswal Neco Industries Ltd,JAYNECOIND,"Iron & Steel","2704.2301095400003","30.9","87","100","36",,"58"
Inox Wind Energy Ltd,IWEL,"Heavy Electrical Equipments","2700.532529455","2379.35","70",,"92",,"12"
Hathway Cable and Datacom Ltd,HATHWAY,"Cable & D2H","2699.4093625","15.45","60",,"7","6.30833333333333","22"
VST Tillers Tractors Ltd,VSTTILLERS,"Tractors","2675.254153885","3096.55","66",,"63","5.75","88"
Tata Metaliks Ltd,TATAMETALI,"Iron & Steel","2675.0879125","845.05","88","93","59","4.95746268656716","85"
