Company Name,Symbol,Industry
Cummins India Ltd.,CUMMINSIND,Capital Goods
Cyient Ltd.,CYIENT,Information Technology
DCM Shriram Ltd.,DCMSHRIRAM,Diversified
DLF Ltd.,DLF,Realty
Dabur India Ltd.,DABUR,Fast Moving Consumer Goods
Dalmia Bharat Ltd.,DALBHARAT,Construction Materials
Data Patterns (India) Ltd.,DATAPATTNS,Capital Goods
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,Chemicals
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals
Delhivery Ltd.,DELHIVERY,Services
Delta Corp Ltd.,DELTACORP,Consumer Services
Devyani International Ltd.,DEVYANI,Consumer Services
Divi's Laboratories Ltd.,DIVISLAB,Healthcare
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare
Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare
E.I.D. Parry (India) Ltd.,EIDPARRY,Chemicals
EIH Ltd.,EIHOTEL,Consumer Services
EPL Ltd.,EPL,Capital Goods
Easy Trip Planners Ltd.,EASEMYTRIP,Consumer Services
Eicher Motors Ltd.,EICHERMOT,Automobile and Auto Components
Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods
Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods
Endurance Technologies Ltd.,ENDURANCE,Automobile and Auto Components
Engineers India Ltd.,ENGINERSIN,Construction
Equitas Small Finance Bank Ltd.,EQUITASBNK,Financial Services
Eris Lifesciences Ltd.,ERIS,Healthcare
Escorts Kubota Ltd.,ESCORTS,Capital Goods
Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components
FDC Ltd.,FDC,Healthcare
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Services
Federal Bank Ltd.,FEDERALBNK,Financial Services
Fertilisers and Chemicals Travancore Ltd.,FACT,Chemicals
Fine Organic Industries Ltd.,FINEORG,Chemicals
Finolex Cables Ltd.,FINCABLES,Capital Goods
Finolex Industries Ltd.,FINPIPE,Capital Goods
Firstsource Solutions Ltd.,FSL,Services
Five-Star Business Finance Ltd.,FIVESTAR,Financial Services
Fortis Healthcare Ltd.,FORTIS,Healthcare
G R Infraprojects Ltd.,GRINFRA,Construction
GAIL (India) Ltd.,GAIL,Oil Gas & Consumable Fuels
GMM Pfaudler Ltd.,GMMPFAUDLR,Capital Goods
GMR Airports Infrastructure Ltd.,GMRINFRA,Services
Galaxy Surfactants Ltd.,GALAXYSURF,Chemicals
Garware Technical Fibres Ltd.,GARFIBRES,Textiles
General Insurance Corporation of India,GICRE,Financial Services
Gland Pharma Ltd.,GLAND,Healthcare
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare
Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare
Global Health Ltd.,MEDANTA,Healthcare
Go Fashion (India) Ltd.,GOCOLORS,Consumer Services
Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods
Godrej Agrovet Ltd.,GODREJAGRO,Fast Moving Consumer Goods
Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods
Godrej Industries Ltd.,GODREJIND,Diversified
Godrej Properties Ltd.,GODREJPROP,Realty
Granules India Ltd.,GRANULES,Healthcare
Graphite India Ltd.,GRAPHITE,Capital Goods
Grasim Industries Ltd.,GRASIM,Construction Materials
Great Eastern Shipping Co. Ltd.,GESHIP,Services
Greenpanel Industries Ltd.,GREENPANEL,Consumer Durables
Grindwell Norton Ltd.,GRINDWELL,Capital Goods
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,Chemicals
Gujarat Ambuja Exports Ltd.,GAEL,Fast Moving Consumer Goods
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals
Gujarat Gas Ltd.,GUJGASLTD,Oil Gas & Consumable Fuels
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,Chemicals
Gujarat Pipavav Port Ltd.,GPPL,Services
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Chemicals
Gujarat State Petronet Ltd.,GSPL,Oil Gas & Consumable Fuels
H.E.G. Ltd.,HEG,Capital Goods
HCL Technologies Ltd.,HCLTECH,Information Technology
HDFC Asset Management Company Ltd.,HDFCAMC,Financial Services
HDFC Bank Ltd.,HDFCBANK,Financial Services
HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services
HFCL Ltd.,HFCL,Telecommunication
HLE Glascoat Ltd.,HLEGLAS,Capital Goods
Happiest Minds Technologies Ltd.,HAPPSTMNDS,Information Technology
Havells India Ltd.,HAVELLS,Consumer Durables
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components
Hikal Ltd.,HIKAL,Healthcare
Hindalco Industries Ltd.,HINDALCO,Metals & Mining
Hinduja Global Solutions Ltd.,HGS,Services
Hindustan Aeronautics Ltd.,HAL,Capital Goods
Hindustan Copper Ltd.,HINDCOPPER,Metals & Mining
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Oil Gas & Consumable Fuels
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods
Hindustan Zinc Ltd.,HINDZINC,Metals & Mining
Hitachi Energy India Ltd.,POWERINDIA,Capital Goods
Home First Finance Company India Ltd.,HOMEFIRST,Financial Services
Honeywell Automation India Ltd.,HONAUT,Capital Goods
Housing & Urban Development Corporation Ltd.,HUDCO,Financial Services
Housing Development Finance Corporation Ltd.,HDFC,Financial Services
ICICI Bank Ltd.,ICICIBANK,Financial Services
ICICI Lombard General Insurance Company Ltd.,ICICIGI,Financial Services
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Financial Services
ICICI Securities Ltd.,ISEC,Financial Services
IDBI Bank Ltd.,IDBI,Financial Services
IDFC First Bank Ltd.,IDFCFIRSTB,Financial Services
IDFC Ltd.,IDFC,Financial Services
IFB Industries Ltd.,IFBIND,Consumer Durables
IIFL Finance Ltd.,IIFL,Financial Services
IRB Infrastructure Developers Ltd.,IRB,Construction
ITC Ltd.,ITC,Fast Moving Consumer Goods
ITI Ltd.,ITI,Telecommunication
India Cements Ltd.,INDIACEM,Construction Materials
Indiabulls Housing Finance Ltd.,IBULHSGFIN,Financial Services
Indiabulls Real Estate Ltd.,IBREALEST,Realty
Indiamart Intermesh Ltd.,INDIAMART,Consumer Services
Indian Bank,INDIANB,Financial Services
Indian Energy Exchange Ltd.,IEX,Financial Services
Indian Hotels Co. Ltd.,INDHOTEL,Consumer Services
Indian Oil Corporation Ltd.,IOC,Oil Gas & Consumable Fuels
Indian Overseas Bank,IOB,Financial Services
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Consumer Services
Indian Railway Finance Corporation Ltd.,IRFC,Financial Services
Indigo Paints Ltd.,INDIGOPNTS,Consumer Durables
Indraprastha Gas Ltd.,IGL,Oil Gas & Consumable Fuels
Indus Towers Ltd.,INDUSTOWER,Telecommunication
IndusInd Bank Ltd.,INDUSINDBK,Financial Services
Infibeam Avenues Ltd.,INFIBEAM,Financial Services
Info Edge (India) Ltd.,NAUKRI,Consumer Services
Infosys Ltd.,INFY,Information Technology
Ingersoll Rand (India) Ltd.,INGERRAND,Capital Goods
Intellect Design Arena Ltd.,INTELLECT,Information Technology
InterGlobe Aviation Ltd.,INDIGO,Services
Ipca Laboratories Ltd.,IPCALAB,Healthcare
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Healthcare
J.K. Cement Ltd.,JKCEMENT,Construction Materials
JBM Auto Ltd.,JBMA,Automobile and Auto Components
JK Lakshmi Cement Ltd.,JKLAKSHMI,Construction Materials
JK Paper Ltd.,JKPAPER,Forest Materials
JM Financial Ltd.,JMFINANCIL,Financial Services
JSW Energy Ltd.,JSWENERGY,Power
JSW Steel Ltd.,JSWSTEEL,Metals & Mining
Jamna Auto Industries Ltd.,JAMNAAUTO,Automobile and Auto Components
Jindal Stainless Ltd.,JSL,Metals & Mining
Jindal Steel & Power Ltd.,JINDALSTEL,Metals & Mining
Jindal Worldwide Ltd.,JINDWORLD,Textiles
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare
Justdial Ltd.,JUSTDIAL,Consumer Services
Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods
K.P.R. Mill Ltd.,KPRMILL,Textiles
KEI Industries Ltd.,KEI,Capital Goods
KNR Constructions Ltd.,KNRCON,Construction
KPIT Technologies Ltd.,KPITTECH,Information Technology
KRBL Ltd.,KRBL,Fast Moving Consumer Goods
KSB Ltd.,KSB,Capital Goods
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables
Kalpataru Power Transmission Ltd.,KALPATPOWR,Construction
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Durables
Kansai Nerolac Paints Ltd.,KANSAINER,Consumer Durables
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services
Kec International Ltd.,KEC,Capital Goods
Kennametal India Ltd.,KENNAMET,Capital Goods
Keystone Realtors Ltd.,RUSTOMJEE,Realty
Kfin Technologies Ltd.,KFINTECH,Financial Services
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare
L&T Finance Holdings Ltd.,L&TFH,Financial Services
L&T Technology Services Ltd.,LTTS,Information Technology
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services
LTIMindtree Ltd.,LTIM,Information Technology
Lakshmi Machine Works Ltd.,LAXMIMACH,Capital Goods
Larsen & Toubro Ltd.,LT,Construction
Latent View Analytics Ltd.,LATENTVIEW,Information Technology
Laurus Labs Ltd.,LAURUSLABS,Healthcare
Laxmi Organic Industries Ltd.,LXCHEM,Chemicals
Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Services
Life Insurance Corporation of India,LICI,Financial Services
Linde India Ltd.,LINDEINDIA,Chemicals
Lupin Ltd.,LUPIN,Healthcare
Lux Industries Ltd.,LUXIND,Textiles
MMTC Ltd.,MMTC,Services
MRF Ltd.,MRF,Automobile and Auto Components
MTAR Technologies Ltd.,MTARTECH,Capital Goods
Macrotech Developers Ltd.,LODHA,Realty
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Financial Services
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components
Mahindra CIE Automotive Ltd.,MAHINDCIE,Automobile and Auto Components
Mahindra Holidays & Resorts India Ltd.,MHRIL,Consumer Services
Mahindra Lifespace Developers Ltd.,MAHLIFE,Realty
Mahindra Logistics Ltd.,MAHLOG,Services
Manappuram Finance Ltd.,MANAPPURAM,Financial Services
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels
Marico Ltd.,MARICO,Fast Moving Consumer Goods
Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components
Mastek Ltd.,MASTEK,Information Technology
Max Financial Services Ltd.,MFSL,Financial Services
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Capital Goods
Medplus Health Services Ltd.,MEDPLUS,Consumer Services
Meghmani Finechem Ltd.,MFL,Chemicals
Metro Brands Ltd.,METROBRAND,Consumer Durables
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare
Motherson Sumi Wiring India Ltd.,MSUMI,Automobile and Auto Components
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services
MphasiS Ltd.,MPHASIS,Information Technology
Multi Commodity Exchange of India Ltd.,MCX,Financial Services
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services
NATCO Pharma Ltd.,NATCOPHARM,Healthcare
NBCC (India) Ltd.,NBCC,Construction
NCC Ltd.,NCC,Construction
NHPC Ltd.,NHPC,Power
NLC India Ltd.,NLCINDIA,Power
NMDC Ltd.,NMDC,Metals & Mining
NMDC Steel Ltd.,NSLNISP,Metals & Mining
NOCIL Ltd.,NOCIL,Chemicals
NTPC Ltd.,NTPC,Power
Narayana Hrudayalaya Ltd.,NH,Healthcare
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals
Nazara Technologies Ltd.,NAZARA,Media Entertainment & Publication
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods
Network18 Media & Investments Ltd.,NETWORK18,Media Entertainment & Publication
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials
Oberoi Realty Ltd.,OBEROIRLTY,Realty
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels
Oil India Ltd.,OIL,Oil Gas & Consumable Fuels
Olectra Greentech Ltd.,OLECTRA,Automobile and Auto Components
One 97 Communications Ltd.,PAYTM,Financial Services
Oracle Financial Services Software Ltd.,OFSS,Information Technology
Orient Electric Ltd.,ORIENTELEC,Consumer Durables
PB Fintech Ltd.,POLICYBZR,Financial Services
PCBL Ltd.,PCBL,Chemicals
PI Industries Ltd.,PIIND,Chemicals
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services
PNC Infratech Ltd.,PNCINFRA,Construction
PVR INOX Ltd.,PVRINOX,Media Entertainment & Publication
Page Industries Ltd.,PAGEIND,Textiles
Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods
Persistent Systems Ltd.,PERSISTENT,Information Technology
Petronet LNG Ltd.,PETRONET,Oil Gas & Consumable Fuels
Pfizer Ltd.,PFIZER,Healthcare
Phoenix Mills Ltd.,PHOENIXLTD,Realty
Pidilite Industries Ltd.,PIDILITIND,Chemicals
Piramal Enterprises Ltd.,PEL,Financial Services
Piramal Pharma Ltd.,PPLPHARMA,Healthcare
Poly Medicure Ltd.,POLYMED,Healthcare
Polycab India Ltd.,POLYCAB,Capital Goods
Polyplex Corporation Ltd.,POLYPLEX,Capital Goods
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services
Power Finance Corporation Ltd.,PFC,Financial Services
Power Grid Corporation of India Ltd.,POWERGRID,Power
Praj Industries Ltd.,PRAJIND,Capital Goods
Prestige Estates Projects Ltd.,PRESTIGE,Realty
Prince Pipes and Fittings Ltd.,PRINCEPIPE,Capital Goods
Prism Johnson Ltd.,PRSMJOHNSN,Construction Materials
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,Fast Moving Consumer Goods
Punjab National Bank,PNB,Financial Services
Quess Corp Ltd.,QUESS,Services
RBL Bank Ltd.,RBLBANK,Financial Services
REC Ltd.,RECLTD,Financial Services
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods
RITES Ltd.,RITES,Construction
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods
Rail Vikas Nigam Ltd.,RVNL,Construction
Rain Industries Ltd,RAIN,Chemicals
Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare
Rajesh Exports Ltd.,RAJESHEXPO,Consumer Durables
Rallis India Ltd.,RALLIS,Chemicals
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Chemicals
Ratnamani Metals & Tubes Ltd.,RATNAMANI,Capital Goods
RattanIndia Enterprises Ltd.,RTNINDIA,Services
Raymond Ltd.,RAYMOND,Textiles
Redington Ltd.,REDINGTON,Services
Relaxo Footwears Ltd.,RELAXO,Consumer Durables
Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels
Restaurant Brands Asia Ltd.,RBA,Consumer Services
Rossari Biotech Ltd.,ROSSARI,Chemicals
Route Mobile Ltd.,ROUTE,Telecommunication
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services
SJVN Ltd.,SJVN,Power
SKF India Ltd.,SKFINDIA,Capital Goods
SRF Ltd.,SRF,Chemicals
Samvardhana Motherson International Ltd.,MOTHERSON,Automobile and Auto Components
Sanofi India Ltd.,SANOFI,Healthcare
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services
Schaeffler India Ltd.,SCHAEFFLER,Automobile and Auto Components
Sharda Cropchem Ltd.,SHARDACROP,Chemicals
Shoppers Stop Ltd.,SHOPERSTOP,Consumer Services
Shree Cement Ltd.,SHREECEM,Construction Materials
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods
Shriram Finance Ltd.,SHRIRAMFIN,Financial Services
Shyam Metalics and Energy Ltd.,SHYAMMETL,Metals & Mining
Siemens Ltd.,SIEMENS,Capital Goods
Sobha Ltd.,SOBHA,Realty
Solar Industries India Ltd.,SOLARINDS,Chemicals
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components
Sonata Software Ltd.,SONATSOFTW,Information Technology
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services
State Bank of India,SBIN,Financial Services
Steel Authority of India Ltd.,SAIL,Metals & Mining
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Construction
Sterlite Technologies Ltd.,STLTECH,Telecommunication
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals
Sun Pharma Advanced Research Company Ltd.,SPARC,Healthcare
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services
Sundram Fasteners Ltd.,SUNDRMFAST,Automobile and Auto Components
Sunteck Realty Ltd.,SUNTECK,Realty
Suprajit Engineering Ltd.,SUPRAJIT,Automobile and Auto Components
Supreme Industries Ltd.,SUPREMEIND,Capital Goods
Suven Pharmaceuticals Ltd.,SUVENPHAR,Healthcare
Suzlon Energy Ltd.,SUZLON,Capital Goods
Swan Energy Ltd.,SWANENERGY,Realty
Syngene International Ltd.,SYNGENE,Healthcare
TCI Express Ltd.,TCIEXP,Services
TCNS Clothing Co. Ltd.,TCNSBRANDS,Textiles
TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables
TV18 Broadcast Ltd.,TV18BRDCST,Media Entertainment & Publication
TVS Motor Company Ltd.,TVSMOTOR,Automobile and Auto Components
Tamilnad Mercantile Bank Ltd.,TMB,Financial Services
Tanla Platforms Ltd.,TANLA,Information Technology
Tata Chemicals Ltd.,TATACHEM,Chemicals
Tata Communications Ltd.,TATACOMM,Telecommunication
Tata Consultancy Services Ltd.,TCS,Information Technology
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods
Tata Elxsi Ltd.,TATAELXSI,Information Technology
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services
Tata Motors Ltd DVR,TATAMTRDVR,Automobile and Auto Components
Tata Motors Ltd.,TATAMOTORS,Automobile and Auto Components
Tata Power Co. Ltd.,TATAPOWER,Power
Tata Steel Ltd.,TATASTEEL,Metals & Mining
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication
Teamlease Services Ltd.,TEAMLEASE,Services
Tech Mahindra Ltd.,TECHM,Information Technology
Tejas Networks Ltd.,TEJASNET,Telecommunication
The New India Assurance Company Ltd.,NIACL,Financial Services
The Ramco Cements Ltd.,RAMCOCEM,Construction Materials
Thermax Ltd.,THERMAX,Capital Goods
Timken India Ltd.,TIMKEN,Capital Goods
Titan Company Ltd.,TITAN,Consumer Durables
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare
Torrent Power Ltd.,TORNTPOWER,Power
Transport Corporation of India Ltd.,TCI,Services
Trent Ltd.,TRENT,Consumer Services
Trident Ltd.,TRIDENT,Textiles
Triveni Engineering & Industries Ltd.,TRIVENI,Fast Moving Consumer Goods
Triveni Turbine Ltd.,TRITURBINE,Capital Goods
Tube Investments of India Ltd.,TIINDIA,Automobile and Auto Components
UCO Bank,UCOBANK,Financial Services
UFLEX Ltd.,UFLEX,Capital Goods
